Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EMCBC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
GFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HQ,3,0,3,0,1,0,0,0,0,0,0,0,0,7,
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NETL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NNSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRLFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ORO,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
OSTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ROO,1,1,1,0,0,0,0,0,0,0,0,0,0,3,
SEPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SPR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SWPA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
WAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,7,2,4,0,1,0,0,0,0,0,0,0,0,14,
