Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ADJ BDS,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
ALJ,3,1,0,0,0,0,0,0,0,0,0,0,0,4,
ASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CFO,3,1,1,0,0,0,0,0,0,0,0,0,0,5,
EBSA,6,1,0,0,0,0,0,0,0,0,0,0,0,7,
ETA,5,1,0,0,0,0,0,0,0,0,0,0,0,6,
EXEC SEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ILAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MSHA,3,0,0,0,0,0,0,0,0,0,1,0,3,7,
OASAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCIA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OFCCP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OIG,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OLMS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSHA,56,7,3,2,0,0,0,0,0,0,0,0,0,68,
OWCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SOL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
VETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WHD,47,2,1,0,2,0,0,0,0,1,1,0,0,54,
Total,128,14,5,2,2,0,0,0,0,1,2,0,3,157,
