Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BEP,17,18,6,51,27,29,3,146,,,,,
DO,31,87,1,771,158,313,2,2720,247,247,247,247,
FinCEN,5,8,1,20,14,19,3,85,26,26,26,26,
IRS,,,,,18,22.98,1,615,65,107.14,6,322,
MINT,4,8,2,46,,,,,12,12,12,12,
OCC,7,9.3,,262,23,27.05,,93,20,19.48,1,76,
TIGTA,16.5,14.75,3,23,20,34.8,5,223,72,72,30,114,
TTB,2,6,1,20,31,45,6,291,31,31,31,31,
Fiscal Service,16,15,1,40,28,26,1,96,,,,,
Total,7,16,0,771,18,28,0,2720,21,44,1,322,
