Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ADJ BDS,12.5,11.4,6,14,,,,,,,,,
ALJ,10,9.5,1,19,3,5.9,1,37,11,15.5,2,38,
ASP,4,4,4,4,297,297,297,297,,,,,
BLS,22,28.1,7,118,22,47.2,13,124,,,,,
EBSA,19.5,19.4,1,56,19,43.5,1,871,14,14,14,14,
ETA,8,12.6,1,191,11,14,1,111,12,8,1,12,
ILAB,7,7,7,7,103.5,103.5,41,166,,,,,
MSHA,,,,,11,21.2,1,391,214,253.9,1,550,
OASAM,18,37.6,11,140,35,58.8,2,437,,,,,
OCIA,,,,,40,89.6,4,461,,,,,
ODEP,,,,,9.5,9.5,2,17,,,,,
OFCCP,5,9.8,1,25,16,34.9,1,261,1,1,1,1,
OIG,4,18,1,93,200,156,9,459,5,5,5,5,
OLMS,18,25,18,39,29,32,2,75,,,,,
OSEC,,,,,48,102.4,7,465,,,,,
OSHA,8,18.4,1,686,13,20.8,1,780,5.5,13,1,70,
OWCP,3,10.3,1,30,17,40.7,2,1108,,,,,
SOL,7,7,7,7,27,65.5,1,969,,,,,
VETS,9,12.6,1,52,16,32.9,1,367,,,,,
WB,128,128,128,128,,,,,,,,,
WHD,20.5,31.6,1,254,37,65.8,1,608,11,17.6,1,196,
Total,11,22,1,686,14,28,1,1108,10,31,1,550,
