Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
BIA,0,3,10,41,43,431,37,0,232,0,0,1,0,1,
BLM,0,9,24,19,87,171,8,0,32,4,6,7,0,1,
BOEM,0,1,0,6,3,22,0,0,1,0,0,0,0,0,
BOR,0,3,1,11,31,45,1,0,4,0,0,10,0,0,
BSEE,0,0,1,17,7,34,0,0,1,0,0,0,0,2,
FWS,0,5,4,140,94,336,35,0,184,7,32,18,0,0,
NPS,0,4,27,35,48,233,27,0,116,0,20,6,0,0,
OIG,0,0,7,6,8,70,26,0,62,2,0,0,0,0,
OS,0,0,4,17,30,45,0,0,3,0,6,0,0,1,
OSM,0,0,0,5,6,12,0,0,0,0,0,0,0,0,
SOL,0,0,0,1,12,4,0,0,0,0,0,0,0,0,
USGS,0,0,3,3,26,16,0,0,6,0,0,0,0,2,
Total,0,25,81,301,395,1419,134,0,641,13,64,42,0,7,
