Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
CBP,38122,52290,77746,12666,
CRCL,9,40,30,19,
FEMA,824,758,717,865,
FLETC,7,122,100,29,
I&A,22,238,217,43,
ICE,57671,44748,101578,841,
NPPD,4490,13781,12232,6039,
OIG,62,261,223,100,
PRIV,125,649,697,77,
S&T,1,38,33,6,
TSA,974,554,563,965,
USCG,1444,3176,2517,2103,
USCIS,12525,162986,150897,24614,
USSS,758,1497,1328,927,
Total,117034,281138,348878,49294,
