Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AMS,0,0,1,0,0,0,0,0,0,0,0,
APHIS,0,1,6,0,2,0,0,2,1,0,0,
ASCR,1,0,0,0,0,0,0,0,0,0,0,
FNCS,0,0,1,0,0,0,0,0,0,0,0,
FS,2,0,8,1,0,1,0,2,1,0,0,
FSA,3,0,5,1,0,1,0,0,0,0,0,
FSIS,0,1,2,0,0,0,0,0,0,0,0,
NRCS,0,0,2,0,0,0,0,1,0,0,0,
RD,2,0,6,0,2,0,1,3,0,0,7,
REE,0,0,2,0,0,0,0,0,0,0,0,
RMA,0,0,0,0,0,0,1,0,0,0,0,
Total,8,2,33,2,4,2,2,8,2,0,7,
