Component,Description,No. of Times Used,Total
CBP,United States Customs and Border Protection,61,61
FEMA,Federal Emergency Management Agency,0,0
FLETC,Federal Law Enforcement Training Center,0,0
ICE,Immigration and Customs Enforcement,0,0
OGC,Office of the General Counsel,1,19
OGC,Office of the General Counsel,1,19
OGC,Office of the General Counsel,1,19
OGC,Office of the General Counsel,11,19
OGC,Office of the General Counsel,5,19
OIG,Office of the Inspector General,2,4
OIG,Office of the Inspector General,2,4
TSA,Transportation Security Administration,1,6
TSA,Transportation Security Administration,5,6
USCG,United States Coast Guard,0,0
USCIS,United States Citizenship and Immigration Services,0,0
USSS,United States Secret Service,0,0
Total,0,90,176
