Component,Description,No. of Times Used,Total
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,12,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,10,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,10,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,6,45
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,45
Total,0,45,405
