Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
BPA,784564.75,0,784564.75,1104.13,0.14%,
CBFO,0,0,0,0,0.0%,
CH,142483,0,142483,2628.96,1.85%,
EMCBC,160000,0,160000,744.37,0.47%,
GFO,116442,0,116442,3052.44,2.62%,
HQ,6907156.58,284360,7191516.58,5375.59,0.08%,
ID,145903,0,145903,0,0.0%,
NETL,120000,0,120000,0,0.0%,
NNSA,681753,4884.44,686637.44,0,0.0%,
NR,0,0,0,0,0.0%,
NRLFO,3842,0,3842,0,0.0%,
ORO,419758,1020,420778,285.7,0.07%,
OSTI,12539.15,0,12539.15,0,0.0%,
ROO,193031.82,2825.6,195857.42,748.03,0.39%,
SEPA,8537.12,0,8537.12,0,0.0%,
SPR,27500,0,27500,0,0.0%,
SRO,71034,0,71034,0,0.0%,
SWPA,28150,0,28150,0,0.0%,
WAPA,34000,0,34000,344,1.01%,
Total,9856694,293090,10149784,14283,N/A,
