Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
FAA,Date of Receipt,2011-12-15,2011-12-01,2011-11-19,2011-11-25,2011-10-12,2011-10-07,2011-09-06,2011-08-16,2011-08-08,2011-08-04
FAA,Number of Days Pending,951,961,963,965,995,997,1020,1034,1040,1042
FHWA,Date of Receipt,2015-09-23,2015-08-21,2015-09-22,2015-09-21,2015-09-21,2015-09-21,2015-09-16,2015-09-14,2015-09-11,2015-09-02
FHWA,Number of Days Pending,0,5,6,7,7,7,10,12,13,15
FMCSA,Date of Receipt,2015-07-31,2015-07-31,2015-05-12,2015-05-12,2015-03-10,2014-07-28,2014-07-23,2014-05-22,2014-05-19,2013-05-06
FMCSA,Number of Days Pending,42,42,98,98,143,273,278,318,323,604
FRA,Date of Receipt,2014-04-07,2014-03-10,2014-02-26,2013-12-12,2013-12-05,2013-12-03,2013-11-22,2013-09-12,2013-09-10,2013-09-09
FRA,Number of Days Pending,373,392,399,447,451,453,459,509,511,512
FTA,Date of Receipt,2015-09-22,2015-09-16,2015-09-16,2015-09-15,2015-09-14,2015-09-10,2015-09-10,2015-08-19,2014-08-25,2013-05-22
FTA,Number of Days Pending,6,10,10,11,12,14,14,29,276,592
MARAD,Date of Receipt,2015-08-14,2015-08-10,2015-08-05,2015-07-29,2015-06-04,2015-06-02,2015-02-24,2014-10-08,2013-10-17,2013-08-16
MARAD,Number of Days Pending,32,36,39,44,82,84,153,245,490,521
NHTSA,Date of Receipt,2014-06-03,2014-05-27,2014-05-27,2014-05-19,2014-04-02,2014-03-18,2014-02-26,2014-02-24,2014-01-28,2013-03-20
NHTSA,Number of Days Pending,334,339,339,344,377,388,402,404,422,626
OIG,Date of Receipt,2015-07-23,2015-07-23,2015-07-22,2015-07-10,2015-07-05,2015-07-02,2015-06-22,2015-04-16,2015-02-26,2014-10-15
OIG,Number of Days Pending,48,48,49,57,62,62,70,116,151,241
OST,Date of Receipt,2014-03-27,2014-02-14,2014-02-06,2014-01-15,2013-11-08,2013-10-08,2013-07-18,2013-05-03,2013-03-01,2012-01-13
OST,Number of Days Pending,380,408,414,429,473,495,552,603,649,717
PHMSA,Date of Receipt,2013-08-06,2013-08-01,2013-07-23,2013-07-08,2013-05-15,2013-04-24,2013-04-17,2013-04-17,2013-04-15,2012-09-10
PHMSA,Number of Days Pending,540,543,550,561,597,599,617,617,619,767
