Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AFRC,3,5,0,0,0,0,0,0,0,0,0,0,0,8,
ARC,11,7,5,2,1,0,2,0,0,0,1,0,1,30,
GRC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,
GSFC,32,17,3,0,1,0,0,0,0,0,0,0,0,53,
HQ,26,15,2,0,2,0,0,0,0,0,0,0,0,45,
JPL,18,1,0,0,0,0,0,0,0,0,0,0,0,19,
JSC,63,8,0,2,0,0,0,0,0,0,1,0,0,74,
KSC,30,17,8,1,2,2,2,0,0,0,1,0,0,63,
LaRC,4,3,0,0,0,0,0,0,0,0,0,0,0,7,
MSFC,21,3,2,0,0,0,0,0,0,0,0,0,0,26,
NSSC,5,1,2,0,0,0,0,0,0,0,0,0,0,8,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,3,4,1,0,0,0,0,0,0,0,0,0,0,8,
SSC,4,1,0,0,0,0,0,0,0,0,0,0,0,5,
Total,228,82,23,5,6,2,4,0,0,0,3,0,1,354,
