Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FAA,7,2,0,2,0,0,0,0,0,0,0,0,0,11,
FHWA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
FMCSA,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
FRA,5,1,2,0,0,0,0,0,0,0,0,0,0,8,
FTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MARAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NHTSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
OST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PHMSA,0,0,0,0,0,0,0,0,0,0,1,0,2,3,
RITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SLSDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,16,4,3,2,0,0,0,0,0,0,1,0,2,28,
