Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
HQ,82,12,9.71,835,238,322.33,16,1.5,231.06
Region 1,17,14,9.71,8,25,148.75,0,,
Region 2,115,8,16.62,202,124.5,162.5,2,14,14
Region 3,71,13,9.93,97,82,232.4,11,406,349.18
Region 4,59,9,8.25,69,84,98.42,0,,
Region 5,100,8,8.14,32,32,129.88,0,,
Region 6,0,,,82,15,44.85,1,219,219
Region 7,20,7,6.75,8,20.5,33,0,,
Region 8,7,6,8.86,30,55,164.3,12,33.5,31.67
Region 9,59,8,7.97,17,40,105.18,0,,
Region 10,12,4,6.08,70,103.5,146.44,1,1,1
Total,542,9,10,1450,149,247,43,35,190
