Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
OCTAE,0,0,
OM-OCPO,9,20,
OSHS,0,0,
FSA,12,38,
IES,3,0,
IES-NAGB,0,0,
M,49,38,
OCFO,0,0,
OCFO-CAM,7,1,
OCIO,0,0,
OCO,2,0,
OCR,15,15,
OCR-1 Boston,3,14,
OCR-2 New York,61,30,
OCR-3 Philadelphia,2,2,
OCR-4 Atlanta,13,17,
OCR-5 Chicago,1,0,
OCR-6 Dallas,3,5,
OCR-7 Kansas City,14,10,
OCR-8 Denver,0,2,
OCR-9 San Francisco,1,0,
OCR-10 Seattle,0,0,
OCR-12 Cleveland,4,5,
OCR-Metro D.C.,35,6,
ODS,5,0,
OESE,1,0,
OGC,0,4,
OIG,2,1,
OII,0,2,
OLCA,0,0,
OM,4,4,
OPE,9,6,
OPEPD,3,3,
OS,23,38,
OSERS,1,3,
OUS,1,1,
Total,283,265,
