Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
FAA,8131,9636,7753,9088,
FHWA,438,361,463,368,
FMCSA,1815,1510,1431,1538,
FRA,412,535,396,355,
FTA,252,281,265,273,
MARAD,71,105,100,124,
NHTSA,269,262,225,249,
OIG,114,103,110,119,
OST,318,366,287,378,
PHMSA,165,187,154,159,
RITA,11,0,11,2,
SLSDC,16,28,18,28,
Total,12012,13374,11213,12681,
