Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2008,CEQ,CEQ,0,5,5,0
2008,CFTC,CFTC,0,1,0,1
2008,CNCS,CNCS,0,0,0,0
2008,CPPBSD,CPPBSD,0,0,0,0
2008,CSB,CSB,0,0,0,0
2008,DHS,CBP,1,29,27,3
2008,DHS,CRCL,1,3,2,2
2008,DHS,FEMA,0,8,6,2
2008,DHS,FLETC,0,1,1,0
2008,DHS,I&A,0,1,1,0
2008,DHS,ICE,0,118,116,2
2008,DHS,MGMT,0,6,6,0
2008,DHS,NPPD,0,1,1,0
2008,DHS,OGC,1,2,0,3
2008,DHS,OIG,0,1,1,0
2008,DHS,OPS,1,6,7,0
2008,DHS,PLCY,0,2,2,0
2008,DHS,PRIV,0,14,12,2
2008,DHS,S&T,0,2,2,0
2008,DHS,TSA,1,13,13,1
2008,DHS,US-VISIT,0,0,0,0
2008,DHS,USCG,3,11,7,7
2008,DHS,USCIS,18,45,47,16
2008,DHS,USSS,0,0,0,0
2008,DNFSB,OGC,0,0,0,0
2008,DNFSB,OGM,0,0,0,0
2008,DOC,BIS,0,18,13,5
2008,DOC,Census,0,0,0,0
2008,DOC,EDA,0,0,0,0
2008,DOC,ESA,0,0,0,0
2008,DOC,ITA,0,19,19,0
2008,DOC,MBDA,0,0,0,0
2008,DOC,NIST,0,3,3,0
2008,DOC,NOAA,0,0,0,0
2008,DOC,NTIA,0,1,1,0
2008,DOC,NTIS,0,1,1,0
2008,DOC,OIG,0,0,0,0
2008,DOC,OS,0,2,2,0
2008,DOC,PTO,0,20,20,0
2008,DoD,AF,0,0,0,0
2008,DoD,ARMY,80,191,193,78
2008,DoD,ASBCA,0,0,0,0
2008,DoD,CENTCOM,0,5,0,5
2008,DoD,DCAA,0,0,0,0
2008,DoD,DCMA,0,1,1,0
2008,DoD,DeCA,0,0,0,0
2008,DoD,DFAS,0,7,7,0
2008,DoD,DIA,268,149,155,262
2008,DoD,DISA,0,1,0,1
2008,DoD,DLA,0,0,0,0
2008,DoD,DoDEA,0,2,2,0
2008,DoD,DoDIG,0,2,2,0
2008,DoD,DSS,0,0,0,0
2008,DoD,DTIC,0,0,0,0
2008,DoD,DTRA,0,0,0,0
2008,DoD,EUCOM,0,2,0,2
2008,DoD,JFCOM,0,3,3,0
2008,DoD,NAVY,82,384,320,146
2008,DoD,NGA,98,80,35,143
2008,DoD,NORTHCOM,0,2,2,0
2008,DoD,NRO,0,3,1,2
2008,DoD,NSA,77,170,206,41
2008,DoD,OSD/JS,0,52,24,28
2008,DoD,PACOM,0,8,4,4
2008,DoD,SOCOM,17,10,14,13
2008,DoD,SOUTHCOM,0,0,0,0
2008,DoD,STRATCOM,0,1,1,0
2008,DoD,TRANSCOM,38,23,27,34
2008,DoD,TRICARE,0,0,0,0
2008,DOE,BPA,0,2,2,0
2008,DOE,CBFO,0,0,0,0
2008,DOE,CH,0,0,0,0
2008,DOE,EMCBC,0,0,0,0
2008,DOE,GFO,0,0,0,0
2008,DOE,HQ,150,145,171,124
2008,DOE,ID,0,0,0,0
2008,DOE,NETL,0,0,0,0
2008,DOE,NNSA/AL,1,7,3,5
2008,DOE,NR,0,0,0,0
2008,DOE,ORO,2,0,2,0
2008,DOE,OSTI,0,0,0,0
2008,DOE,PNSO,0,0,0,0
2008,DOE,RL,0,0,0,0
2008,DOE,SEPA,0,0,0,0
2008,DOE,SPR,0,0,0,0
2008,DOE,SROO,0,1,1,0
