Agency,Component,Description,No. of Times Used,Total,Year
CNCS,OIG,0,0,0.0,2008
CNCS,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
CNCS,OIG,Administratively Closed,2,9.0,2008
CNCS,OIG,Records Publicly Available,1,9.0,2008
CNCS,OIG,Unable to locate requester,6,9.0,2008
CNCS,OIG,Not applicable,0,0.0,2008
CNCS,OIG,,0,0.0,2008
CNCS,OIG,Records  on OIG Webpage,1,1.0,2008
CNCS,OIG,,0,0.0,2008
CNCS,OIG,NA - Other reason was not relied on for denials.,0,0.0,2008
CSOSA,HQ,0,0,0.0,2008
CSOSA,HQ,Litigation,1,15.0,2008
CSOSA,HQ,Other,14,15.0,2008
CSOSA,HQ,Records lost of destroyed,87,257.0,2008
CSOSA,HQ,Cancelled,170,257.0,2008
CSOSA,HQ,Requests were administratively closed,239,239.0,2008
DHS,OLA,Document referred not responsive,9,11.0,2008
DHS,OLA,Failure to comply with requirements,2,11.0,2008
DHS,OIG,0,0,0.0,2008
DHS,OGC,0,0,0.0,2008
DHS,OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1.0,2008
DHS,CBP,Records Publicly Available,3,17.0,2008
DHS,CBP,Handled on Appeal Level,1,17.0,2008
DHS,CBP,Unable to locate requester,13,17.0,2008
DHS,CRCL,Administratively Closed,2,2.0,2008
DHS,FEMA,Unable to locate requester,1,1.0,2008
DHS,I&A,Administratively Closed,15,15.0,2008
DHS,ICE,Litigation,9,22.0,2008
DHS,ICE,Fugitive,8,22.0,2008
DHS,ICE,Administratively Closed,5,22.0,2008
DHS,MGMT,Records Publicly Available,1,1.0,2008
DHS,OIG,Records Publicly Available,1,9.0,2008
DHS,OIG,Unable to locate requester,6,9.0,2008
DHS,OIG,Administratively Closed,2,9.0,2008
DHS,OPS,Administratively Closed,2,2.0,2008
DHS,PRIV,Sent in error,1,14.0,2008
DHS,PRIV,Administratively Closed,5,14.0,2008
DHS,PRIV,Records Publicly Available,5,14.0,2008
DHS,PRIV,Unable to locate requester,1,14.0,2008
DHS,PRIV,Redress,2,14.0,2008
DHS,TSA,Administratively Closed,16,26.0,2008
