Year,Agency,Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions.1,Number of Full Denials Based on Reasons Other than Exemptions.2,Number of Full Denials Based on Reasons Other than Exemptions.3,Number of Full Denials Based on Reasons Other than Exemptions.4,Number of Full Denials Based on Reasons Other than Exemptions.5,Number of Full Denials Based on Reasons Other than Exemptions.6,Number of Full Denials Based on Reasons Other than Exemptions.7,Number of Full Denials Based on Reasons Other than Exemptions.8,Total
2008,CEQ,CEQ,11.0,14.0,0.0,22,0,0,0,0,0,0,0,3,50.0
2008,CFTC,CFTC,63.0,28.0,12.0,31,0,9,0,0,0,8,0,0,151.0
2008,CNCS,CNCS,40.0,5.0,0.0,1,0,0,0,1,0,0,0,0,47.0
2008,CO,CO,13.0,1.0,0.0,2,0,2,1,1,0,0,0,26,46.0
2008,CPPBSD,CPPBSD,29.0,6.0,0.0,9,0,4,0,2,0,0,0,46,96.0
2008,CSB,CSB,4.0,10.0,10.0,2,0,10,0,2,1,1,0,0,40.0
2008,DHS,CBP,1550.0,1856.0,461.0,1132,764,81,75,28,2382,200,93,17,8639.0
2008,DHS,CRCL,2.0,6.0,1.0,14,7,0,0,0,0,0,0,2,32.0
2008,DHS,FEMA,72.0,23.0,7.0,24,20,65,6,2,109,1,0,1,330.0
2008,DHS,FLETC,40.0,23.0,19.0,22,12,26,6,11,0,0,0,0,159.0
2008,DHS,I&A,3.0,7.0,4.0,23,7,0,0,0,0,0,0,15,59.0
2008,DHS,ICE,220.0,1206.0,224.0,482,2008,48,22,18,156,17,38,22,4461.0
2008,DHS,MGMT,16.0,62.0,6.0,39,51,1,0,15,2,0,1,1,194.0
2008,DHS,NPPD,7.0,18.0,0.0,8,17,5,4,0,0,0,0,0,59.0
2008,DHS,OGC,2.0,1.0,1.0,4,3,1,0,0,1,0,0,0,13.0
2008,DHS,OIG,12.0,143.0,31.0,37,1,10,1,0,3,2,0,9,249.0
2008,DHS,OPS,8.0,9.0,1.0,12,5,0,0,0,0,0,2,2,39.0
2008,DHS,PLCY,8.0,3.0,2.0,13,1,0,0,0,0,0,0,0,27.0
2008,DHS,PRIV,10.0,58.0,7.0,32,596,7,1,34,63,12,10,14,844.0
2008,DHS,S&T,20.0,23.0,8.0,20,5,10,1,1,0,0,0,0,88.0
2008,DHS,TSA,93.0,202.0,79.0,70,25,33,5,17,73,7,4,26,634.0
2008,DHS,US-VISIT,1.0,2027.0,2.0,40,1,4,0,0,2,0,0,0,2077.0
2008,DHS,USCG,3148.0,613.0,173.0,518,472,159,10,12,31,4,126,7,5273.0
2008,DHS,USCIS,7158.0,49459.0,110.0,5210,582,1341,5,0,13416,1761,5253,129,84424.0
2008,DHS,USSS,35.0,224.0,54.0,916,4,17,11,0,153,9,2,2,1427.0
2008,DNFSB,OGC,2.0,0.0,1.0,7,0,0,0,0,0,0,1,0,11.0
2008,DNFSB,OGM,7.0,0.0,0.0,9,0,0,0,0,0,0,0,0,16.0
2008,DOC,BIS,19.0,13.0,10.0,8,1,1,6,0,0,0,0,0,58.0
2008,DOC,Census,19.0,36.0,58.0,16,21,8,6,2,4,1,0,25,196.0
2008,DOC,EDA,16.0,12.0,0.0,26,1,8,0,0,0,1,0,0,64.0
2008,DOC,ESA,2.0,2.0,0.0,5,0,0,0,0,0,0,0,0,9.0
2008,DOC,ITA,44.0,11.0,3.0,20,0,5,25,1,1,0,0,1,111.0
2008,DOC,MBDA,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0,28.0
2008,DOC,NIST,23.0,13.0,1.0,9,3,6,9,2,0,102,0,8,176.0
2008,DOC,NOAA,358.0,91.0,10.0,34,5,28,28,0,2,0,14,6,576.0
2008,DOC,NTIA,3.0,0.0,0.0,2,0,0,2,0,0,0,0,0,7.0
2008,DOC,NTIS,6.0,1.0,0.0,4,0,0,0,0,0,0,0,5,16.0
2008,DOC,OIG,3.0,13.0,4.0,2,3,20,0,0,0,0,0,1,46.0
2008,DOC,OS,45.0,37.0,4.0,98,14,6,9,7,0,0,0,3,223.0
2008,DOC,PTO,88.0,109.0,20.0,51,6,6,30,3,61,1,0,0,375.0
2008,DoD,AF,2530.0,1259.0,245.0,1045,1625,649,142,112,169,150,142,283,8351.0
2008,DoD,ARMY,15222.0,7686.0,822.0,3950,3414,965,398,493,1550,294,487,89,35370.0
2008,DoD,ASBCA,19.0,1.0,0.0,0,0,0,0,0,0,0,0,0,20.0
2008,DoD,CENTCOM,10.0,26.0,0.0,8,82,25,0,0,1,0,4,22,178.0
2008,DoD,DCAA,25.0,16.0,6.0,30,19,5,7,9,0,0,0,0,117.0
2008,DoD,DCMA,43.0,19.0,4.0,34,28,13,6,5,10,6,4,0,172.0
2008,DoD,DeCA,21.0,17.0,1.0,7,9,4,2,2,1,0,0,0,64.0
2008,DoD,DFAS,136.0,47.0,5.0,12,18,7,2,1,2,6,0,0,236.0
2008,DoD,DIA,85.0,313.0,7.0,385,40,12,0,0,1,16,24,60,943.0
2008,DoD,DISA,94.0,87.0,5.0,52,58,34,14,1,1,1,10,0,357.0
2008,DoD,DLA,4696.0,387.0,84.0,51,123,91,20,16,23,19,31,0,5541.0
2008,DoD,DoDEA,4.0,32.0,1.0,1,3,4,2,0,0,0,0,0,47.0
2008,DoD,DoDIG,19.0,181.0,44.0,67,42,5,1,0,5,11,2,0,377.0
2008,DoD,DSS,40.0,17.0,2.0,15,0,1,0,0,4,0,0,0,79.0
2008,DoD,DTIC,10.0,0.0,2.0,7,29,3,0,0,0,0,0,0,51.0
2008,DoD,DTRA,7.0,56.0,1.0,28,3,22,0,0,4,10,2,20,153.0
2008,DoD,EUCOM,3.0,8.0,3.0,5,6,0,0,0,0,0,0,0,25.0
2008,DoD,JFCOM,2.0,2.0,6.0,2,0,0,0,0,0,0,0,0,12.0
2008,DoD,NAVY,4910.0,3737.0,401.0,1091,2623,538,288,180,542,212,271,135,14928.0
2008,DoD,NGA,8.0,2.0,11.0,7,4,6,2,9,5,0,4,1,59.0
2008,DoD,NORTHCOM,4.0,15.0,0.0,1,16,0,0,0,0,0,0,2,38.0
2008,DoD,NRO,17.0,64.0,12.0,42,0,4,3,2,24,7,0,0,175.0
2008,DoD,NSA,40.0,296.0,751.0,86,0,26,16,7,0,0,26,110,1358.0
2008,DoD,OSD/JS,385.0,446.0,103.0,202,308,321,65,61,67,198,86,80,2322.0
2008,DoD,PACOM,25.0,16.0,10.0,6,64,16,0,0,0,2,6,0,145.0
2008,DoD,SOCOM,32.0,15.0,1.0,19,39,33,2,6,4,10,9,28,198.0
2008,DoD,SOUTHCOM,6.0,75.0,17.0,58,10,1,1,0,0,0,0,0,168.0
2008,DoD,STRATCOM,2.0,17.0,7.0,9,7,0,0,0,0,0,0,0,42.0
2008,DoD,TRANSCOM,24.0,35.0,0.0,15,3,3,4,0,0,0,0,1,85.0
2008,DoD,TRICARE,32.0,29.0,3.0,10,1,8,3,0,0,2,0,0,88.0
2008,DOE,BPA,28.0,21.0,0.0,6,2,5,0,0,0,0,0,0,62.0
2008,DOE,CBFO,2.0,3.0,0.0,3,1,2,0,0,0,0,0,0,11.0
2008,DOE,CH,21.0,5.0,0.0,6,1,14,0,0,0,0,0,0,47.0
2008,DOE,EMCBC,7.0,3.0,1.0,3,3,4,3,0,3,0,0,1,28.0
2008,DOE,GFO,7.0,16.0,9.0,2,1,7,1,0,0,0,0,0,43.0
2008,DOE,HQ,139.0,111.0,10.0,72,198,55,0,0,0,0,4,0,589.0
2008,DOE,ID,27.0,3.0,1.0,4,1,3,0,0,1,0,0,0,40.0
2008,DOE,NETL,8.0,21.0,0.0,7,0,6,5,0,3,0,0,0,50.0
2008,DOE,NNSA/AL,153.0,60.0,11.0,53,7,10,1,1,1,11,13,0,321.0
2008,DOE,NR,4.0,0.0,0.0,2,1,0,0,0,0,0,0,0,7.0
2008,DOE,ORO,237.0,17.0,0.0,23,17,5,0,1,5,15,3,0,323.0
2008,DOE,OSTI,3.0,1.0,0.0,2,0,0,0,0,0,0,0,0,6.0
2008,DOE,PNSO,6.0,0.0,0.0,2,0,2,0,0,0,0,0,0,10.0
2008,DOE,RL,47.0,19.0,11.0,10,4,5,2,0,0,0,0,0,98.0
2008,DOE,SEPA,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2.0
2008,DOE,SPR,7.0,1.0,0.0,0,0,0,0,0,0,0,0,0,8.0
2008,DOE,SROO,18.0,8.0,1.0,7,7,4,1,0,0,1,0,0,47.0
2008,DOE,SWPA,4.0,0.0,0.0,1,0,2,0,0,0,0,0,0,7.0
2008,DOE,WAPA,5.0,6.0,0.0,3,0,1,0,0,0,0,0,0,15.0
2008,DOI,BIA,394.0,206.0,15.0,140,20,21,24,30,13,20,16,24,923.0
2008,DOI,BLM,500.0,277.0,18.0,120,7,32,26,5,6,3,1,1,996.0
2008,DOI,BOR,118.0,26.0,5.0,16,8,10,2,0,0,1,1,0,187.0
2008,DOI,FWS,548.0,89.0,20.0,70,23,7,0,0,0,2,0,31,790.0
2008,DOI,MMS,103.0,38.0,4.0,12,3,5,6,1,2,4,0,5,183.0
2008,DOI,NPS,485.0,213.0,24.0,61,22,13,10,8,0,10,3,1,850.0
2008,DOI,OIG,5.0,22.0,12.0,5,2,23,0,1,0,1,2,0,73.0
2008,DOI,OS,119.0,79.0,2.0,53,36,20,12,108,23,15,2,7,476.0
2008,DOI,OSM,29.0,10.0,0.0,11,1,3,2,0,0,0,0,0,56.0
2008,DOI,SOL,15.0,22.0,7.0,9,1,3,4,5,0,0,0,0,66.0
2008,DOI,USGS,67.0,30.0,4.0,23,3,8,5,1,0,5,4,0,150.0
2008,DOJ,Office of the AG,25.0,29.0,10.0,40,26,8,0,0,0,1,3,14,156.0
2008,DOJ,Office of the DAG,13.0,18.0,6.0,33,7,4,0,0,0,0,3,4,88.0
2008,DOJ,Office of the Assoc. AG,0.0,2.0,0.0,14,3,1,0,0,0,0,4,1,25.0
2008,DOJ,Antitrust,10.0,22.0,30.0,34,0,14,7,1,0,0,0,2,120.0
2008,DOJ,ATF,262.0,463.0,185.0,241,26,2,47,27,243,18,38,91,1643.0
2008,DOJ,BOP,8646.0,1239.0,206.0,755,137,565,491,823,983,771,292,0,14908.0
2008,DOJ,Civil,70.0,27.0,22.0,75,9,16,11,9,18,1,9,0,267.0
2008,DOJ,Civil Rights,190.0,113.0,16.0,29,24,4,7,3,4,0,1,30,421.0
2008,DOJ,COPS,20.0,11.0,0.0,15,2,3,0,0,0,0,0,0,51.0
2008,DOJ,Criminal,102.0,172.0,107.0,351,48,122,3,309,123,38,47,0,1422.0
2008,DOJ,CRS,0.0,1.0,0.0,10,0,0,0,0,0,0,0,0,11.0
2008,DOJ,DEA,37.0,363.0,59.0,148,8,5,63,299,256,0,15,48,1301.0
2008,DOJ,ENRD,22.0,33.0,7.0,31,4,7,0,3,5,0,0,0,112.0
2008,DOJ,EOIR,9688.0,187.0,34.0,2307,251,38,203,471,33,0,368,0,13580.0
2008,DOJ,EOUSA,373.0,619.0,683.0,666,45,35,112,381,266,277,37,1084,4578.0
2008,DOJ,EOUST,3.0,6.0,0.0,7,0,14,2,7,1,1,0,0,41.0
2008,DOJ,FBI,89.0,2276.0,196.0,10023,0,229,575,3477,5,0,813,34,17717.0
2008,DOJ,FCSC,0.0,13.0,0.0,2,0,0,0,0,0,0,0,0,15.0
2008,DOJ,JMD,88.0,10.0,5.0,27,135,11,20,4,1,9,1,1,312.0
2008,DOJ,NDIC,7.0,19.0,1.0,26,5,0,0,2,0,0,0,5,65.0
2008,DOJ,NSD,22.0,15.0,26.0,95,1,1,1,0,0,10,0,3,174.0
2008,DOJ,ODR,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,13.0
2008,DOJ,OFDT,13.0,13.0,0.0,11,7,1,1,0,0,6,0,1,53.0
2008,DOJ,OIG,49.0,68.0,21.0,66,3,1,2,0,1,5,1,0,217.0
2008,DOJ,OIP,44.0,9.0,1.0,20,341,29,2,3,5,21,3,16,494.0
2008,DOJ,OIPL,0.0,0.0,0.0,7,0,0,0,0,0,0,1,0,8.0
2008,DOJ,OJP,91.0,89.0,1.0,68,14,35,0,0,0,28,0,0,326.0
2008,DOJ,OLA,11.0,19.0,2.0,19,6,2,1,0,4,1,0,11,76.0
2008,DOJ,OLC,19.0,10.0,12.0,21,1,0,0,0,2,0,0,0,65.0
2008,DOJ,OLP,16.0,50.0,2.0,11,8,2,1,0,1,1,1,4,97.0
2008,DOJ,OPR,9.0,17.0,17.0,19,5,1,0,4,1,0,1,4,78.0
2008,DOJ,OSG,46.0,21.0,33.0,20,6,0,0,10,12,0,0,0,148.0
2008,DOJ,OVW,8.0,20.0,0.0,5,3,0,0,0,0,0,0,0,36.0
2008,DOJ,Pardon Attorney,24.0,34.0,2.0,9,0,0,1,0,0,0,0,0,70.0
2008,DOJ,Public Affairs,0.0,1.0,1.0,8,1,1,0,0,0,0,0,0,12.0
2008,DOJ,PRAO,3.0,0.0,1.0,11,0,0,0,0,0,1,0,0,16.0
2008,DOJ,TAX,2.0,9.0,4.0,115,9,0,2,4,39,0,0,13,197.0
2008,DOJ,USMS,322.0,449.0,95.0,320,32,9,15,12,27,14,14,97,1406.0
2008,DOJ,USNCB,11.0,33.0,26.0,122,0,0,0,1,3,0,0,23,219.0
2008,DOJ,USPC,408.0,17.0,8.0,92,1,7,46,0,154,0,1,0,734.0
2008,DOT,FAA,2717.0,1487.0,73.0,2226,19,490,126,17,36,11,0,0,7202.0
2008,DOT,FHWA,241.0,91.0,3.0,14,0,10,9,0,0,56,1,47,472.0
2008,DOT,FMCSA,332.0,662.0,4.0,3,0,54,1,1,20,0,5,0,1082.0
2008,DOT,FRA,213.0,70.0,3.0,63,5,34,1,0,0,0,3,0,392.0
2008,DOT,FTA,69.0,68.0,2.0,42,0,6,0,0,2,5,0,2,196.0
2008,DOT,MARAD,45.0,8.0,4.0,46,0,9,0,0,0,1,0,20,133.0
2008,DOT,NHTSA,106.0,68.0,0.0,10,0,0,3,0,0,0,0,3,190.0
2008,DOT,OIG,3.0,40.0,0.0,15,1,16,0,0,1,18,0,0,94.0
2008,DOT,OST,85.0,83.0,5.0,90,9,38,0,0,0,8,0,90,408.0
2008,DOT,PHMSA,93.0,22.0,4.0,0,0,27,0,0,0,10,10,2,168.0
2008,DOT,RITA,25.0,9.0,2.0,6,3,0,0,0,0,0,0,0,45.0
2008,DOT,SLSDC,9.0,5.0,0.0,6,0,0,0,0,0,0,0,0,20.0
2008,ED,FSA,140.0,43.0,0.0,38,0,19,0,0,41,0,3,0,284.0
2008,ED,IES,5.0,32.0,0.0,3,0,3,1,0,0,0,2,0,46.0
2008,ED,OCFO,2.0,1.0,0.0,3,0,3,0,0,0,0,0,0,9.0
2008,ED,OCFO-CAM,38.0,31.0,0.0,10,0,11,1,0,1,0,1,0,93.0
2008,ED,OCFO-FSS,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.0
2008,ED,OCIO,6.0,0.0,1.0,0,1,0,0,0,0,0,0,0,8.0
2008,ED,OCO,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.0
2008,ED,OCR,15.0,40.0,0.0,2,0,2,0,0,1,1,0,0,61.0
2008,ED,OCR-Atlanta,17.0,22.0,4.0,4,0,2,2,0,1,1,1,0,54.0
2008,ED,OCR-Boston,16.0,92.0,2.0,0,0,7,0,0,0,0,2,0,119.0
2008,ED,OCR-Chicago,36.0,38.0,7.0,5,0,5,0,0,0,0,2,0,93.0
2008,ED,OCR-Cleveland,23.0,23.0,9.0,1,0,0,0,0,0,0,0,0,56.0
2008,ED,OCR-Dallas,21.0,39.0,3.0,5,0,3,1,0,1,1,1,0,75.0
