Year,Agency,Component,Description,No. of Times Used,Total
2008,CEQ,CEQ,Council on Environmental Quality,0,0.0
2008,CFTC,CFTC,Commodity Futures Trading Commission,0,0.0
2008,CO,CO,United States Copyright Office,1,1.0
2008,CPPBSD,CPPBSD,Committee for Purchase From People Who Are Blind or Severely Disabled,0,0.0
2008,CSB,CSB,Chemical Safety and Hazard Investigation Board,0,0.0
2008,DHS,CBP,United States Customs and Border Protection,4,4.0
2008,DHS,OGC,Office of the General Counsel,6,7.0
2008,DHS,OGC,Office of the General Counsel,1,7.0
2008,DHS,TSA,Transportation Security Administration,1,1.0
2008,DHS,USCIS,United States Citizenship and Immigration Services,286,1177.0
2008,DHS,USCIS,United States Citizenship and Immigration Services,891,1177.0
2008,DHS,USSS,United States Secret Service,1,1.0
2008,DNFSB,OGC,Office of the General Counsel,0,0.0
2008,DoD,AF,United States Department of the Air Force,25,25.0
2008,DoD,ARMY,United States Department of the Army,8,17.0
2008,DoD,ARMY,United States Department of the Army,9,17.0
2008,DoD,DIA,Defense Intelligence Agency,2,2.0
2008,DoD,NAVY,United States Department of the Navy,1,141.0
2008,DoD,NAVY,United States Department of the Navy,2,141.0
2008,DoD,NAVY,United States Department of the Navy,125,141.0
2008,DoD,NAVY,United States Department of the Navy,3,141.0
2008,DoD,NAVY,United States Department of the Navy,2,141.0
2008,DoD,NAVY,United States Department of the Navy,8,141.0
2008,DoD,NSA,National Security Agency,20,28.0
2008,DoD,NSA,National Security Agency,6,28.0
2008,DoD,NSA,National Security Agency,2,28.0
2008,DOE,HQ,Headquarters,15,15.0
2008,DOI,Appeals,Appeals,29,181.0
2008,DOI,Appeals,Appeals,1,181.0
2008,DOI,Appeals,Appeals,9,181.0
2008,DOI,Appeals,Appeals,6,181.0
2008,DOI,Appeals,Appeals,8,181.0
2008,DOI,Appeals,Appeals,3,181.0
2008,DOI,Appeals,Appeals,114,181.0
2008,DOI,Appeals,Appeals,1,181.0
2008,DOI,Appeals,Appeals,1,181.0
2008,DOI,Appeals,Appeals,5,181.0
2008,DOI,Appeals,Appeals,1,181.0
2008,DOI,Appeals,Appeals,1,181.0
2008,DOI,Appeals,Appeals,1,181.0
2008,DOI,Appeals,Appeals,1,181.0
2008,DOJ,OIP,Office of Information Policy,137,223.0
2008,DOJ,OIP,Office of Information Policy,86,223.0
2008,DOJ,USPC,United States Parole Commission,1,1.0
2008,DOT,FAA,Federal Aviation Administration,38,39.0
2008,DOT,FAA,Federal Aviation Administration,1,39.0
2008,DOT,FTA,Federal Transit Administration,1,1.0
2008,DOT,PHMSA,Pipeline and Hazardous Materials Safety Administration,2,2.0
2008,ED,OM-RIMS,Office of Management - Regulatory Information Management Services,0,0.0
2008,EPA,HQ,Headquarters,3,31.0
2008,EPA,HQ,Headquarters,28,31.0
2008,Ex-Im Bank,Ex-Im Bank,Export-Import Bank of the United States,1,1.0
2008,FCA,FCA,Farm Credit Administration,0,0.0
2008,FCC,FCC,Federal Communications Commission,1,1.0
2008,FCSIC,FCSIC,Farm Credit System Insurance Corporation,0,0.0
2008,FDIC,FDIC,Federal Deposit Insurance Corporation,0,0.0
2008,FEC,FEC,Federal Election Commission,0,0.0
2008,FERC,FERC,Federal Energy Regulatory Commission,0,0.0
2008,FFIEC,FFIEC,Federal Financial Institutions Council,0,0.0
2008,FLRA,FSIP,Federal Service Impasses Panel,0,0.0
2008,FLRA,Authority,"Authority Member, Administrative Law Judges & Solicitor",1,1.0
2008,FLRA,OGC,Office of the General Counsel,2,2.0
2008,FMCS,FMCS,Federal Mediation and Conciliation Service,0,0.0
2008,FMSHRC,FMSHRC,Federal Mine Safety and Health Review Commission,0,0.0
2008,FTC,FTC,Federal Trade Commission,1,1.0
2008,GSA,GSA,U. S. General Services  Administration,0,0.0
2008,HHS,CMS,Centers for Medicare & Medicaid Services,269,269.0
2008,HHS,OS,Office of the Secretary,1,1.0
2008,IMLS,IMLS,Institute of Museum and Library Services,0,0.0
2008,MSPB,MSPB,United States Merit Systems Protection Board,1,1.0
2008,NARA,NARA,National Archives and Records Administration,1,2.0
2008,NARA,NARA,National Archives and Records Administration,1,2.0
2008,NCUA,NCUA,National Credit Union Administration,0,0.0
2008,NRPC,NRPC,AMTRAK (National Railroad Passenger Corporation),0,0.0
2008,NSF,Foundation,NSF Foundation,0,0.0
2008,NSF,OIG,Office of Inspector General,0,0.0
2008,OGE,OGE,United States Office of Government Ethics,0,0.0
2008,ONDCP,OLC,Office of Legal Counsel,0,0.0
2008,OSHRC,OSHRC,Occupational Safety and Health Review Commission,0,0.0
2008,SBA,SBA,United States Small Business Administration,0,0.0
2008,SEC,HQ,Head Quarters,4,4.0
2008,SSA,SSA,Social Security Administration,0,0.0
2008,SSS,SSS,Selective Service System,0,0.0
2008,State,DoS,United States Department of State,10,11.0
2008,State,DoS,United States Department of State,1,11.0
2008,STB,STB,Surface Transportation Board,0,0.0
2008,Treasury,DO,Departmental Offices,1,1.0
2008,Treasury,FMS,Financial Management Service,1,1.0
2008,Treasury,OCC,Office of the Comptroller of the Currency,1,1.0
2008,TVA,TVA,Tennessee Valley Authority,0,0.0
2008,U.S. CPSC,U.S. CPSC,United States Consumer Product Safety Commission,1,1.0
2008,U.S. DOL,DOL,Department of Labor,8,107.0
2008,U.S. DOL,DOL,Department of Labor,8,107.0
2008,U.S. DOL,DOL,Department of Labor,1,107.0
2008,U.S. DOL,DOL,Department of Labor,36,107.0
2008,U.S. DOL,DOL,Department of Labor,48,107.0
2008,U.S. DOL,DOL,Department of Labor,6,107.0
2008,US RRB,OIG,Office of Inspector General,0,0.0
2008,US RRB,RRB,Railroad Retirement Board,0,0.0
2008,USIBWC,USIBWC,"United States Section, International Boundary and Water Commission",0,0.0
2008,USITC,USITC,United States International Trade Commission,0,0.0
2008,USNRC,USNRC,United States Nuclear Regulatory Commission,0,0.0
2008,VA,GC (02),General Counsel,3,34.0
2008,VA,GC (02),General Counsel,31,34.0
2009,CEQ,CEQ,Council on Environmental Quality,0,0.0
2009,CIA,CIA,Central Intelligence Agency,16,16.0
2009,CO,CO,United States Copyright Office,0,0.0
2009,CPPBSD,CPPBSD,Committee for Purchase From People Who Are Blind or Severely Disabled,0,0.0
2009,CSB,CSB,Chemical Safety and Hazard Investigation Board,0,0.0
2009,DHS,CBP,United States Customs and Border Protection,1,2.0
2009,DHS,CBP,United States Customs and Border Protection,1,2.0
2009,DHS,OGC,Office of the General Counsel,2,26.0
2009,DHS,OGC,Office of the General Counsel,17,26.0
2009,DHS,OGC,Office of the General Counsel,1,26.0
2009,DHS,OGC,Office of the General Counsel,6,26.0
2009,DHS,USCIS,United States Citizenship and Immigration Services,60,60.0
2009,DNFSB,OGC,Office of the General Counsel,0,0.0
2009,DNFSB,OGM,Office of the General Manager,0,0.0
2009,DoD,AF,United States Department of the Air Force,43,43.0
2009,DoD,AFRICOM,United States Africa Command,0,0.0
2009,DoD,ARMY,United States Department of the Army,3,15.0
2009,DoD,ARMY,United States Department of the Army,2,15.0
2009,DoD,ARMY,United States Department of the Army,10,15.0
2009,DoD,ASBCA,Armed Service Board of Contract Appeals,0,0.0
2009,DoD,CENTCOM,United States Central Command,0,0.0
2009,DoD,DCAA,Defense Contract Audit Agency,0,0.0
2009,DoD,DCMA,Defense Contract Management Agency,0,0.0
2009,DoD,DeCA,Defense Commissary Agency,0,0.0
2009,DoD,DFAS,Defense Finance and Accounting Service,0,0.0
2009,DoD,DIA,Defense Intelligence Agency,3,3.0
2009,DoD,DISA,Defense Information Service Agency,0,0.0
2009,DoD,DLA,Defense Logistic Agency,0,0.0
2009,DoD,DoDEA,Department of Defense Education Agency,0,0.0
2009,DoD,DoDIG,Department of Defense Inspector General,0,0.0
2009,DoD,DSS,Defense Security Service,0,0.0
2009,DoD,DTIC,Defense Technical Information Center,0,0.0
2009,DoD,DTRA,Defense Technology and Research Agency,1,1.0
2009,DoD,EUCOM,United States European Command,0,0.0
2009,DoD,JFCOM,United States Joint Forces Command,0,0.0
2009,DoD,NAVY,United States Department of the Navy,67,67.0
2009,DoD,NGA,National Geospatial Command,0,0.0
2009,DoD,NGB,National Guard Bureau,0,0.0
2009,DoD,NORTHCOM,United States Northern Command,0,0.0
2009,DoD,NRO,National Reconnaissance Office,0,0.0
2009,DoD,NSA,National Security Agency,9,9.0
2009,DoD,OSD/JS,Office of the Secretary of Defense/Joint Staff,7,17.0
2009,DoD,OSD/JS,Office of the Secretary of Defense/Joint Staff,9,17.0
2009,DoD,OSD/JS,Office of the Secretary of Defense/Joint Staff,1,17.0
2009,DoD,PACOM,United States Pacific Command,0,0.0
2009,DoD,SOCOM,United States Special Operations Command,0,0.0
2009,DoD,SOUTHCOM,United States Southern Command,0,0.0
2009,DoD,STRATCOM,United States Strategic Command,0,0.0
2009,DoD,TRANSCOM,United States Transportation Command,0,0.0
2009,DoD,TRICARE,"TRICARE Management Agency, DoD Health Care System",0,0.0
2009,DOE,HQ,Headquarters,9,9.0
2009,DOI,Appeals,Appeals,1,156.0
2009,DOI,Appeals,Appeals,8,156.0
2009,DOI,Appeals,Appeals,2,156.0
2009,DOI,Appeals,Appeals,1,156.0
2009,DOI,Appeals,Appeals,8,156.0
2009,DOI,Appeals,Appeals,4,156.0
2009,DOI,Appeals,Appeals,1,156.0
2009,DOI,Appeals,Appeals,1,156.0
2009,DOI,Appeals,Appeals,12,156.0
2009,DOI,Appeals,Appeals,15,156.0
2009,DOI,Appeals,Appeals,1,156.0
2009,DOI,Appeals,Appeals,94,156.0
2009,DOI,Appeals,Appeals,6,156.0
2009,DOI,Appeals,Appeals,2,156.0
2009,DOJ,OIP,Office of Information Policy,99,445.0
2009,DOJ,OIP,Office of Information Policy,15,445.0
2009,DOJ,OIP,Office of Information Policy,1,445.0
2009,DOJ,OIP,Office of Information Policy,67,445.0
2009,DOJ,OIP,Office of Information Policy,71,445.0
2009,DOJ,OIP,Office of Information Policy,186,445.0
2009,DOJ,OIP,Office of Information Policy,6,445.0
2009,DOJ,USPC,United States Parole Commission,1,1.0
2009,DOT,FAA,Federal Aviation Administration,23,23.0
2009,DOT,FMCSA,Federal Motor Carrier Safety Administration,1,1.0
2009,DOT,OIG,Office of Inspector General,1,1.0
2009,ED,OM-RIMS,Office of Management - Regulatory Information Management Services,0,0.0
2009,EPA,HQ,Headquarters,4,8.0
2009,EPA,HQ,Headquarters,4,8.0
2009,Ex-Im Bank,AGENCY,FOIA Office,0,0.0
2009,FCA,FCA,Farm Credit Administration,0,0.0
