Year,Agency,Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
2008,CFTC,CFTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CO,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CPPBSD,CPPBSD,22,6,3,2,2,0,0,0,0,0,0,0,0,35
2008,CSB,CSB,0,0,1,0,0,0,0,1,1,1,3,2,12,21
2008,DHS,CBP,74,62,73,40,27,11,2,2,3,8,46,3,14,365
2008,DHS,CRCL,2,3,1,1,0,2,0,1,0,1,1,0,0,12
2008,DHS,FEMA,13,11,7,5,4,3,0,6,2,3,27,19,38,138
2008,DHS,FLETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DHS,I&A,3,3,4,0,0,2,0,0,0,0,0,0,0,12
2008,DHS,ICE,1411,225,84,57,41,24,29,11,8,6,29,22,44,1991
2008,DHS,MGMT,20,35,12,1,1,1,0,0,0,0,0,0,0,70
2008,DHS,NPPD,0,1,0,0,0,1,1,2,0,1,2,0,1,9
2008,DHS,OGC,0,0,0,0,1,1,0,2,0,0,1,0,0,5
2008,DHS,OIG,6,2,4,6,11,6,5,3,1,6,8,17,9,84
2008,DHS,OPS,15,3,1,1,0,0,0,0,0,0,0,0,0,20
2008,DHS,PLCY,0,0,4,1,4,1,4,0,0,0,2,1,0,17
2008,DHS,PRIV,33,27,15,12,2,7,4,0,0,1,2,2,2,107
2008,DHS,S&T,0,0,0,4,1,3,0,4,0,0,1,3,3,19
2008,DHS,TSA,128,68,60,47,36,29,15,24,18,12,41,6,6,490
2008,DHS,US-VISIT,5,0,2,1,1,0,0,0,0,0,0,0,0,9
2008,DHS,USCG,58,126,110,90,75,52,38,23,27,32,103,78,282,1094
2008,DHS,USCIS,5023,1997,883,553,347,256,186,238,201,234,1217,3958,29180,44273
2008,DHS,USSS,0,0,0,107,100,33,29,25,25,12,37,38,183,589
2008,DNFSB,OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DNFSB,OGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,BIS,1,0,0,1,0,0,0,0,0,0,0,0,0,2
2008,DOC,Census,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,EDA,11,0,1,0,0,0,0,0,0,0,0,0,0,12
2008,DOC,ESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,MBDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,NIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,NOAA,0,72,76,21,24,13,12,7,8,7,22,10,7,279
2008,DOC,NTIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,NTIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,OS,0,0,1,5,4,3,2,2,2,0,7,1,0,27
2008,DOC,PTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DoD,AF,0,0,452,248,140,98,78,43,53,49,153,87,155,1556
2008,DoD,ARMY,10524,1573,415,268,220,232,183,122,92,48,171,111,159,14118
2008,DoD,ASBCA,4,1,0,0,0,0,0,0,0,0,0,0,0,5
2008,DoD,CENTCOM,54,9,5,3,3,0,2,4,0,1,10,7,14,112
2008,DoD,DCAA,31,7,4,1,1,0,0,0,0,0,1,0,0,45
2008,DoD,DCMA,1,6,11,6,2,1,0,0,0,0,1,1,0,29
2008,DoD,DeCA,1,2,1,0,0,0,0,0,0,0,0,0,0,4
2008,DoD,DFAS,8,6,5,4,2,0,0,0,0,0,0,0,0,25
2008,DoD,DIA,0,75,48,42,39,19,25,15,13,16,86,57,290,725
2008,DoD,DISA,28,44,8,6,6,4,1,1,3,6,17,11,0,135
