Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
Admin,0,0,0,0,0.0%,
BVA,0,0,0,0,0.0%,
C&LA,92.45,0,92.45,0,0.0%,
CFM,82755.12,0,82755.12,1781.27,2.15%,
GC,89692,0,89692,0,0.0%,
HRM,0,0,0,0,0.0%,
IG,374372,0,374372,0,0.0%,
Mgmt,1514.43,0,1514.43,0,0.0%,
NCA,227558,0,227558,283.78,0.12%,
OAL,622467.73,0,622467.73,2087.3,0.34%,
OASP&IA,0,0,0,0,0.0%,
ODASB,6000,0,6000,0,0.0%,
ODASIA,0,0,0,0,0.0%,
ODI,0,0,0,0,0.0%,
OF,19410.91,0,19410.91,0,0.0%,
OI&T,442069.24,0,442069.24,542.72,0.12%,
ORM,37800,0,37800,0,0.0%,
OSDBU,0,0,0,0,0.0%,
OSP,37553,0,37553,0,0.0%,
P&P,7389,0,7389,0,0.0%,
PA,0,0,0,0,0.0%,
SEC,19000,0,19000,0,0.0%,
VBA,1646556.49,0,1646556.49,608.37,0.04%,
VCS,0,0,0,0,0.0%,
VHA,10125217.45,40101,10165318.45,289283,2.86%,
Total,13739448,40101,13779549,294586,N/A,
