Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
ARC,76307.45,0,76307.45,337.5,0.44%,
DFRC,48083.43,0,48083.43,270,0.56%,
GRC,95553.05,0,95553.05,1436.78,1.5%,
GSFC,161824.33,0,161824.33,2653.3,1.64%,
HQ,290913.85,0,290913.85,514.4,0.18%,
JPL,91260.39,0,91260.39,41.25,0.05%,
JSC,180700.5,0,180700.5,1889.25,1.05%,
KSC,167276.37,0,167276.37,1667.6,1.0%,
LaRC,72861.4,0,72861.4,2046.2,2.81%,
MSFC,121278.85,0,121278.85,1046.5,0.86%,
NSSC,60758.6,0,60758.6,313.25,0.52%,
OGC,60992.18,0,60992.18,0,0.0%,
OIG,30154,0,30154,0,0.0%,
SSC,18355.95,0,18355.95,295.5,1.61%,
Total,1476320,0,1476320,12512,N/A,
