Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
ADJ BDS,22500,0,22500,0,0.0%,
ALJ,99300,0,99300,2527.32,2.55%,
ASP,45368,0,45368,0,0.0%,
BLS,24700,0,24700,0,0.0%,
CFO,44000,0,44000,0,0.0%,
EBSA,440946.99,0,440946.99,7237.29,1.64%,
ETA,1151843.39,0,1151843.39,3109.55,0.27%,
EXEC SEC,22536,0,22536,0,0.0%,
ILAB,6300,0,6300,0,0.0%,
MSHA,2687561,0,2687561,45121.02,1.68%,
OASAM,546770,0,546770,0,0.0%,
OCIA,88535,0,88535,0,0.0%,
ODEP,5864.22,0,5864.22,0,0.0%,
OFCCP,562154.4,0,562154.4,3156.34,0.56%,
OIG,131057,0,131057,0,0.0%,
OLMS,60655.19,0,60655.19,10.15,0.02%,
OPA,49000,0,49000,0,0.0%,
OSEC,40100,0,40100,0,0.0%,
OSHA,5740146.26,0,5740146.26,110345.48,1.92%,
OWCP,490752.5,0,490752.5,2571.75,0.52%,
SOL,1335434.96,438354,1773788.96,1070.5,0.08%,
VETS,2687561,0,2687561,656.05,0.02%,
WB,26500,0,26500,0,0.0%,
WHD,1600000,0,1600000,8949.33,0.56%,
Total,17909586,438354,18347940,184755,N/A,
