Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CBP,Date of Receipt,2006-05-30,2006-03-09,2006-03-03,2005-12-19,2005-12-19,2005-11-22,2005-11-10,2005-09-25,2005-09-14,2004-12-15
CBP,Number of Days Pending,589,646,650,700,700,718,725,757,765,953
CRCL,Date of Receipt,,,,,2008-09-25,2008-08-14,2008-07-23,2008-07-07,2008-05-29,2008-05-14
CRCL,Number of Days Pending,,,,,4,33,49,61,87,97
FEMA,Date of Receipt,2006-03-14,2006-03-03,2005-10-28,2005-10-27,2005-10-06,2005-10-03,2005-05-11,2005-05-04,2004-12-08,2004-11-09
FEMA,Number of Days Pending,643,650,734,735,749,752,852,857,958,979
FLETC,Date of Receipt,2008-09-15,2008-09-15,2008-09-11,2008-08-26,2008-08-25,2008-08-19,2008-08-07,2008-08-04,2008-08-01,2008-05-12
FLETC,Number of Days Pending,12,12,14,25,26,30,38,41,42,99
ICE,Date of Receipt,2008-08-29,2008-08-21,2008-08-15,2008-08-13,2008-08-12,2008-08-08,2008-07-31,2008-05-21,2008-05-15,2007-03-29
ICE,Number of Days Pending,22,28,32,34,35,37,43,92,96,381
MGMT,Date of Receipt,,,,,,,2008-09-25,2008-09-17,2008-09-10,2008-07-31
MGMT,Number of Days Pending,,,,,,,4,10,15,43
NPPD,Date of Receipt,2008-04-22,2008-04-09,2008-04-04,2008-03-13,2008-03-04,2008-01-03,2007-12-07,2007-09-27,2007-09-06,2006-02-16
NPPD,Number of Days Pending,113,122,125,141,148,189,206,254,269,660
OGC,Date of Receipt,,,,,2008-09-19,2008-08-22,2008-05-22,2008-02-25,2007-12-12,2007-11-01
OGC,Number of Days Pending,,,,,8,27,91,154,203,230
OIG,Date of Receipt,2008-08-04,2008-07-16,2008-07-11,2008-07-07,2008-07-01,2008-06-10,2008-05-09,2008-02-12,2007-11-05,2007-07-12
OIG,Number of Days Pending,41,54,57,61,64,79,100,162,228,308
PLCY,Date of Receipt,,2008-09-17,2008-09-08,2008-08-06,2008-05-20,2008-05-08,2008-05-05,2008-01-07,2007-11-15,2007-10-04
PLCY,Number of Days Pending,,10,17,39,93,101,104,187,221,249
PRIV,Date of Receipt,2008-05-15,2008-05-06,2008-04-16,2008-03-27,2008-03-25,2008-02-05,2007-12-10,2007-06-13,2007-05-16,2007-02-22
PRIV,Number of Days Pending,96,103,117,131,133,167,205,328,347,406
S&T,Date of Receipt,2008-09-17,2008-09-16,2008-09-10,2008-09-02,2008-08-20,2008-07-14,2008-05-30,2007-12-04,2004-12-28,2004-07-26
S&T,Number of Days Pending,10,11,15,21,29,56,86,209,944,1055
TSA,Date of Receipt,2006-02-16,2006-02-10,2006-02-03,2006-01-31,2006-01-25,2005-11-15,2005-02-10,2005-01-12,2004-11-01,2004-10-27
TSA,Number of Days Pending,660,664,669,672,676,723,915,934,985,988
US-VISIT,Date of Receipt,,,,,,,,2008-09-26,2008-04-11,2008-04-07
US-VISIT,Number of Days Pending,,,,,,,,3,120,124
USCG,Date of Receipt,2002-10-04,2002-09-20,2002-09-17,2002-07-16,2002-04-19,2002-04-04,2002-01-11,2001-08-07,2000-04-04,2000-02-25
USCG,Number of Days Pending,1526,1536,1539,1584,1646,1657,1716,1829,2179,2206
USCIS,Date of Receipt,2006-01-21,2006-01-12,2006-01-12,2006-01-11,2006-01-07,2005-12-05,2005-11-08,2005-10-20,2005-09-14,2005-07-07
USCIS,Number of Days Pending,678,684,684,685,687,710,727,740,765,813
USSS,Date of Receipt,2004-12-14,2004-12-14,2004-12-14,2004-12-14,2004-04-20,2004-04-20,2002-03-29,2002-03-29,2002-03-29,2002-03-29
USSS,Number of Days Pending,954,954,954,954,1124,1124,1661,1661,1661,1661
