Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
BIS,Date of Receipt,,2009-09-23,2009-09-09,2009-08-31,2009-08-31,2009-08-31,2009-08-31,2009-07-28,2009-06-06,2009-04-02
BIS,Number of Days Pending,,7,21,30,30,30,64,64,117,151
Census,Date of Receipt,,2009-09-28,2009-09-25,2009-09-22,2009-09-21,2009-09-21,2009-09-17,2009-09-16,2009-09-09,2009-07-20
Census,Number of Days Pending,,2,3,6,7,7,9,10,15,51
EDA,Date of Receipt,,,,,,,2009-09-28,2009-09-23,2009-09-17,2009-08-18
EDA,Number of Days Pending,,,,,,,8,9,14,15
ITA,Date of Receipt,2009-08-04,2009-08-03,2009-07-01,2009-06-26,2009-06-26,2009-06-08,2009-06-04,2009-05-29,2009-02-26,2009-02-26
ITA,Number of Days Pending,41,42,64,67,68,81,83,87,152,152
NIST,Date of Receipt,2008-07-08,2008-06-24,2008-04-21,2007-08-24,2007-08-08,2007-03-05,2007-02-09,2006-03-24,2006-02-27,2006-01-06
NIST,Number of Days Pending,309,319,363,588,600,697,710,919,947,1001
NOAA,Date of Receipt,2008-01-17,2007-11-29,2007-11-07,2007-10-31,2007-10-30,2007-07-02,2007-06-11,2007-04-30,2006-12-08,2006-10-20
NOAA,Number of Days Pending,428,462,472,480,482,564,579,608,705,753
OIG,Date of Receipt,,,,,,,,,,2009-08-17
OIG,Number of Days Pending,,,,,,,,,,52
OS,Date of Receipt,2009-09-25,2009-09-25,2009-09-15,2009-08-31,2009-07-28,2009-06-02,2009-05-27,2009-05-19,2008-04-02,2007-05-03
OS,Number of Days Pending,3,3,11,13,44,84,88,93,378,605
PTO,Date of Receipt,,,,,,,,2009-09-22,2009-09-21,2009-09-08
PTO,Number of Days Pending,,,,,,,,6,7,16
