Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
Office of the AG,Date of Receipt,2008-03-28,2008-01-31,2007-12-18,2007-12-03,2007-09-18,2007-08-01,2007-07-19,2007-05-23,2007-04-13,2007-04-12
Office of the AG,Number of Days Pending,630,670,698,709,760,793,802,841,869,870
Office of the DAG,Date of Receipt,2008-01-07,2007-12-18,2007-12-11,2007-09-18,2007-09-18,2007-09-17,2007-09-17,2007-08-01,2007-07-19,2007-05-23
Office of the DAG,Number of Days Pending,687,698,703,760,760,761,761,793,802,841
Office of the Assoc. AG,Date of Receipt,2010-01-14,2009-12-09,2009-11-24,2009-11-13,2009-11-12,2009-09-03,2009-08-05,2009-03-26,2007-12-18,2007-09-18
Office of the Assoc. AG,Number of Days Pending,180,204,214,221,222,269,290,382,698,760
Antitrust,Date of Receipt,2009-03-18,2009-03-17,2009-01-13,2008-12-08,2008-11-25,2008-10-22,2008-07-17,2007-07-26,2007-06-21,2006-08-30
Antitrust,Number of Days Pending,388,389,394,404,466,490,559,805,839,1050
ATF,Date of Receipt,2009-11-25,2009-11-24,2009-11-17,2009-11-17,2009-11-06,2009-11-03,2009-10-16,2009-06-02,2009-05-26,2009-01-21
ATF,Number of Days Pending,213,214,219,219,225,228,240,335,340,427
BOP,Date of Receipt,2009-06-30,2009-06-24,2009-06-24,2009-06-24,2009-06-15,2009-05-27,2009-05-06,2009-05-06,2009-04-07,2009-02-09
BOP,Number of Days Pending,315,319,319,319,326,339,353,353,374,414
Civil,Date of Receipt,2009-06-25,2009-06-01,2009-05-29,2009-03-13,2008-09-18,2008-09-18,2008-09-18,2008-09-18,2008-09-18,2008-08-28
Civil,Number of Days Pending,318,336,337,391,514,514,514,514,514,529
Civil Rights,Date of Receipt,2009-07-10,2009-07-01,2009-06-22,2009-06-15,2009-06-03,2009-04-13,2009-04-03,2009-04-03,2009-01-15,2008-01-14
Civil Rights,Number of Days Pending,308,314,321,326,334,370,376,376,430,692
Criminal,Date of Receipt,2010-02-24,2010-02-24,2010-02-24,2010-02-18,2010-02-02,2010-01-29,2010-01-29,2010-01-11,2009-01-23,2008-12-30
Criminal,Number of Days Pending,153,153,153,157,168,170,170,183,425,441
DEA,Date of Receipt,2006-06-27,2006-06-27,2006-06-27,2006-06-13,2006-03-23,2006-03-16,2005-12-16,2005-11-09,2005-09-16,2004-06-18
DEA,Number of Days Pending,1096,1096,1096,1106,1164,1169,1233,1260,1298,1623
ENRD,Date of Receipt,,,,,,,2010-09-16,2010-09-13,2010-08-19,2010-07-26
ENRD,Number of Days Pending,,,,,,,10,13,29,47
EOIR,Date of Receipt,2009-11-19,2009-11-18,2009-11-02,2009-10-21,2009-10-08,2009-09-28,2009-06-12,2009-05-22,2009-05-20,2009-04-27
EOIR,Number of Days Pending,217,218,229,237,245,253,327,341,343,360
EOUSA,Date of Receipt,2005-07-13,2005-06-22,2005-05-05,2005-05-05,2005-05-02,2005-02-25,2005-01-05,2004-11-09,2004-09-01,2003-09-04
EOUSA,Number of Days Pending,1345,1360,1394,1394,1397,1443,1480,1521,1570,1829
EOUST,Date of Receipt,,,,,,,,2010-09-09,2010-09-08,2010-09-07
EOUST,Number of Days Pending,,,,,,,,15,16,17
FBI,Date of Receipt,2009-10-05,2009-10-05,2009-10-02,2009-10-02,2009-10-02,2009-10-01,2009-10-01,2009-10-01,2009-10-01,2009-10-01
FBI,Number of Days Pending,248,248,249,249,249,250,250,250,250,250
FCSC,Date of Receipt,,,,,,,,,,2010-09-20
FCSC,Number of Days Pending,,,,,,,,,,8
JMD,Date of Receipt,2009-09-29,2009-09-28,2009-09-28,2009-09-25,2009-09-04,2009-08-06,2009-07-30,2009-07-21,2009-07-06,2008-09-19
JMD,Number of Days Pending,252,253,253,254,268,289,294,301,312,513
NDIC,Date of Receipt,,,,,2010-09-28,2010-09-28,2010-09-28,2010-07-06,2010-06-07,2009-08-11
NDIC,Number of Days Pending,,,,,2,2,2,61,81,231
NSD,Date of Receipt,2008-09-12,2008-08-29,2008-08-05,2008-07-01,2008-04-23,2008-03-20,2008-02-21,2008-02-20,2007-12-27,2007-10-23
NSD,Number of Days Pending,518,528,546,571,620,644,664,665,704,751
OCDETF,Date of Receipt,,,,,,2010-08-23,2010-08-13,2010-08-11,2010-08-09,2010-08-03
OCDETF,Number of Days Pending,,,,,,27,33,35,37,41
OFDT,Date of Receipt,,,,,,,,,2010-09-28,2010-09-28
OFDT,Number of Days Pending,,,,,,,,,2,2
OIP,Date of Receipt,2009-12-14,2009-11-30,2009-11-30,2009-11-18,2009-11-04,2009-11-04,2009-11-04,2009-11-04,2009-10-30,2009-10-01
OIP,Number of Days Pending,201,211,211,218,227,227,227,227,230,250
OIPL,Date of Receipt,,,,,,,,2010-08-31,2010-08-16,2010-07-02
OIPL,Number of Days Pending,,,,,,,,21,32,62
OJP,Date of Receipt,2009-09-01,2009-07-20,2009-06-19,2009-03-25,2009-03-06,2009-03-03,2008-12-12,2008-07-17,2008-07-16,2007-11-29
OJP,Number of Days Pending,271,302,322,383,396,399,453,559,560,724
OLA,Date of Receipt,2009-03-30,2009-02-25,2008-12-10,2008-11-28,2008-11-25,2008-11-24,2008-11-17,2008-10-29,2008-09-19,2008-08-28
OLA,Number of Days Pending,380,403,453,461,463,464,469,481,508,523
OLC,Date of Receipt,2009-01-27,2009-01-26,2009-01-05,2008-11-26,2008-08-20,2007-12-20,2007-06-19,2007-01-25,2006-09-10,2005-07-25
OLC,Number of Days Pending,423,424,438,465,535,709,841,944,1043,1337
OLP,Date of Receipt,2010-08-16,2010-07-21,2010-07-02,2010-06-14,2010-05-12,2009-11-30,2009-10-15,2009-07-31,2009-06-30,2009-06-23
OLP,Number of Days Pending,32,50,62,76,98,211,241,293,315,320
OPR,Date of Receipt,2010-08-20,2010-07-08,2010-06-29,2010-05-27,2010-04-30,2010-04-22,2010-01-28,2009-10-26,2009-05-21,2008-08-20
OPR,Number of Days Pending,28,59,65,87,106,112,171,234,342,535
OSG,Date of Receipt,2010-09-24,2010-07-26,2010-07-22,2010-06-09,2010-05-25,2010-05-19,2010-04-22,2009-12-09,2009-10-20,2009-05-04
OSG,Number of Days Pending,4,47,49,79,89,93,112,204,238,355
OVW,Date of Receipt,,,,,,,,,2010-09-29,2010-09-28
OVW,Number of Days Pending,,,,,,,,,1,2
Pardon Attorney,Date of Receipt,,,,,,,,,,2009-12-16
Pardon Attorney,Number of Days Pending,,,,,,,,,,199
