Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
HQ,Date of Receipt,2010-09-23,2010-09-20,2010-08-10,2010-07-29,2010-07-01,2010-07-01,2010-05-24,2010-04-29,2010-03-15,2010-01-08
HQ,Number of Days Pending,331,331,372,387,399,399,450,478,513,520
OIG,Date of Receipt,2011-09-12,2011-09-08,2011-08-25,2011-08-25,2011-08-16,2011-06-22,2011-06-03,2011-02-08,2010-11-24,2010-11-24
OIG,Number of Days Pending,14,16,25,25,32,70,83,164,214,214
R01,Date of Receipt,,,,,,,,,,2011-08-26
R01,Number of Days Pending,,,,,,,,,,24
R02,Date of Receipt,,,,,,,,,,2011-08-19
R02,Number of Days Pending,,,,,,,,,,29
R03,Date of Receipt,,,,,,,,,,2011-07-07
R03,Number of Days Pending,,,,,,,,,,60
R07,Date of Receipt,,,,,,,,,2011-08-19,2011-07-19
R07,Number of Days Pending,,,,,,,,,29,52
R09,Date of Receipt,,,,,,,,,2011-06-29,2009-09-09
R09,Number of Days Pending,,,,,,,,,65,497
