Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ADJ BDS,Date of Receipt,,,,,,,,,2012-09-28,2012-09-25
ADJ BDS,Number of Days Pending,,,,,,,,,0,3
ALJ,Date of Receipt,,,,,,,,,2012-09-28,2011-10-17
ALJ,Number of Days Pending,,,,,,,,,0,239
ASP,Date of Receipt,,,,,,,2012-08-30,2012-08-14,2012-08-13,2012-07-18
ASP,Number of Days Pending,,,,,,,20,29,30,43
BLS,Date of Receipt,,,,,,2012-09-26,2012-09-13,2012-08-31,2012-08-14,2012-08-13
BLS,Number of Days Pending,,,,,,1,11,19,29,30
CFO,Date of Receipt,,,,,,,,,,2011-08-09
CFO,Number of Days Pending,,,,,,,,,,278
EBSA,Date of Receipt,2011-04-04,2011-04-04,2011-04-04,2011-04-04,2011-03-29,2011-03-29,2011-03-29,2011-03-29,2011-03-29,2009-06-01
EBSA,Number of Days Pending,376,376,376,376,380,380,380,380,380,828
ETA,Date of Receipt,2012-08-24,2012-08-24,2012-08-18,2012-07-23,2012-03-15,2011-11-19,2011-10-31,2011-10-14,2011-09-29,2011-09-12
ETA,Number of Days Pending,27,27,35,46,101,221,232,241,250,264
EXEC SEC,Date of Receipt,,,,,,2012-08-15,2012-08-06,2011-09-01,2007-06-14,2006-12-20
EXEC SEC,Number of Days Pending,,,,,,32,39,261,1327,1448
ILAB,Date of Receipt,,,,,,,,,,2012-04-04
ILAB,Number of Days Pending,,,,,,,,,,115
MSHA,Date of Receipt,2012-04-20,2012-04-20,2012-04-20,2012-03-20,2011-12-20,2011-12-13,2011-09-07,2010-08-27,2010-04-27,2007-09-25
MSHA,Number of Days Pending,112,112,112,135,168,175,267,396,610,1251
OASAM,Date of Receipt,2012-08-09,2012-08-09,2012-08-09,2012-08-03,2012-07-27,2012-07-25,2012-07-25,2012-07-02,2012-04-23,2012-04-05
OASAM,Number of Days Pending,37,37,37,41,44,45,45,61,112,123
OCIA,Date of Receipt,,,,,2012-09-24,2012-08-15,2012-08-14,2012-08-13,2012-08-06,2012-04-23
OCIA,Number of Days Pending,,,,,3,28,29,30,39,100
ODEP,Date of Receipt,,,,,,,,,,2011-06-01
ODEP,Number of Days Pending,,,,,,,,,,326
OFCCP,Date of Receipt,2012-07-08,2012-07-06,2012-07-06,2012-06-22,2012-05-24,2012-04-03,2012-01-20,2011-08-15,2011-07-19,2011-04-18
OFCCP,Number of Days Pending,57,57,57,67,72,115,174,273,300,348
OIG,Date of Receipt,2012-09-17,2012-09-12,2012-08-07,2012-06-01,2012-05-11,2011-07-11,2011-04-04,2011-03-03,2010-06-18,2010-05-27
OIG,Number of Days Pending,9,12,37,83,97,308,376,398,574,589
OLMS,Date of Receipt,,,,,,2012-09-11,2012-09-11,2012-08-14,2012-08-14,2012-06-07
OLMS,Number of Days Pending,,,,,,13,13,41,41,77
OPA,Date of Receipt,2012-04-19,2012-02-17,2012-01-09,2011-11-15,2011-08-01,2011-06-01,2011-06-01,2011-06-01,2011-06-01,2010-02-08
OPA,Number of Days Pending,112,154,181,221,284,334,334,334,334,651
OSHA,Date of Receipt,2011-09-09,2011-06-14,2011-04-24,2011-03-15,2011-02-03,2011-01-07,2010-12-21,2010-09-17,2010-05-05,2009-09-23
OSHA,Number of Days Pending,264,317,348,390,417,425,437,510,612,757
OWCP,Date of Receipt,2009-07-27,2009-06-22,2009-06-22,2009-06-22,2009-06-22,2009-06-22,2009-06-22,2009-06-15,2009-06-15,2009-06-15
OWCP,Number of Days Pending,796,813,813,813,813,813,813,818,818,818
SOL,Date of Receipt,2011-10-04,2011-09-20,2011-09-20,2011-08-10,2011-07-21,2010-09-17,2010-08-16,2010-08-03,2010-06-24,2010-01-04
SOL,Number of Days Pending,243,256,256,277,300,501,524,533,560,687
VETS,Date of Receipt,2012-02-03,2012-02-02,2012-01-31,2012-01-30,2012-01-27,2012-01-24,2012-01-19,2011-12-27,2011-12-22,2011-12-09
VETS,Number of Days Pending,166,166,168,169,170,172,177,190,193,202
WB,Date of Receipt,,,,,,2012-08-14,2012-08-13,2012-05-18,2012-04-04,2011-11-15
WB,Number of Days Pending,,,,,,29,30,90,115,219
WHD,Date of Receipt,2011-05-18,2011-05-17,2011-03-15,2010-10-07,2010-09-23,2010-08-19,2010-03-26,2009-07-17,2009-01-27,2005-03-03
WHD,Number of Days Pending,342,342,390,496,506,530,632,804,924,1902
