Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FAA,699,633,196,96,56,37,30,34,18,16,81,32,75,2003,
FHWA,7,1,1,1,1,2,2,0,1,1,3,0,0,20,
FMCSA,9,126,142,43,23,8,6,8,12,1,23,13,18,432,
FRA,113,78,70,35,9,10,9,10,8,7,17,9,17,392,
FTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MARAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NHTSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,2,1,1,0,0,1,0,1,4,6,8,24,
OST,36,25,16,12,10,10,11,13,8,7,26,22,85,281,
PHMSA,1,1,1,0,0,0,1,2,0,0,0,0,0,6,
RITA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
SLSDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,865,864,428,188,100,67,59,69,47,33,154,82,203,3159,
