Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,47,335,148,83,69,37,33,23,24,21,65,34,25,944,
Region 1,0,45,7,1,1,1,0,0,0,0,0,1,1,57,
Region 2,0,613,170,75,15,18,14,8,7,4,2,0,0,926,
Region 3,0,639,160,29,10,4,2,9,6,1,5,4,0,869,
Region 4,6,358,69,26,4,2,6,2,2,1,5,1,1,483,
Region 5,4,365,56,18,5,6,1,1,3,1,5,0,1,466,
Region 6,93,219,98,73,14,10,4,5,2,5,9,8,2,542,
Region 7,8,60,5,4,5,4,1,0,0,1,0,0,0,88,
Region 8,3,102,21,13,2,3,2,3,2,1,2,0,1,155,
Region 9,6,184,45,22,20,22,18,3,1,1,5,1,1,329,
Region 10,4,62,34,18,17,6,8,3,2,2,0,2,0,158,
Total,171,2982,813,362,162,113,89,57,49,38,98,51,32,5017,
