Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ADJ BDS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
ALJ,121,7,0,0,1,0,0,0,0,0,0,0,0,129,
ASP,0,0,0,0,0,0,1,1,0,0,4,1,0,7,
BLS,3,3,1,1,0,0,1,0,0,0,0,0,0,9,
CFO,14,2,0,0,0,0,0,0,0,0,0,0,0,16,
EBSA,212,51,26,24,25,7,5,2,0,0,1,0,4,357,
ETA,709,126,19,7,2,2,0,0,0,0,0,0,0,865,
EXEC SEC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
ILAB,1,1,1,0,0,0,0,0,1,0,0,0,0,4,
MSHA,1220,168,50,18,26,15,16,6,6,6,4,2,0,1537,
OASAM,60,54,32,21,16,8,5,6,1,2,5,2,1,213,
OCIA,10,1,3,1,1,1,0,2,0,3,0,1,2,25,
ODEP,5,0,0,0,0,0,0,0,0,0,0,1,0,6,
OFCCP,78,25,13,4,3,1,2,4,0,1,2,0,0,133,
OIG,1,4,1,4,1,1,0,0,2,2,5,2,2,25,
OLMS,26,16,8,3,0,0,0,0,0,0,0,0,0,53,
OPA,1,1,0,2,1,0,0,0,0,0,0,0,2,7,
OSEC,5,6,5,3,2,0,1,1,0,1,1,0,1,26,
OSHA,3558,642,209,75,37,32,19,9,5,4,10,5,15,4620,
OWCP,208,97,65,22,6,14,3,2,2,3,3,0,45,470,
SOL,36,17,13,12,5,2,2,1,1,1,2,1,4,97,
VETS,73,16,5,3,1,1,0,1,1,0,1,5,0,107,
WB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
WHD,377,254,158,78,46,41,33,46,29,31,102,20,5,1220,
Total,6721,1491,609,278,173,125,88,81,48,54,140,40,81,9929,
