Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
A&MM (049),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Admin (03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BVA (01),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OC&LA (009),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFM (00CFM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ODM&EEO (06),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GC (02),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OHRM (05),2,0,0,0,0,0,0,0,0,0,0,0,0,2,
IG (50),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NCA (40),1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OASHRA (006),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OASP&IA (002),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ODASB (041),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ODASIA (075),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OF (047),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OI&T (005),0,1,0,0,0,0,0,0,0,0,0,0,0,1,
MGMT (004),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ORM (08),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSDBU (00SB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P&P (008),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S&LE (07),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEC (00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VBA (20),145,0,2,0,0,0,0,0,0,0,0,0,0,147,
VCS (785),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VHA (10),2519,27,5,1,1,1,1,0,0,0,0,0,1,2556,
Total,2667,28,7,1,1,1,1,0,0,0,0,0,1,2707,
