Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IES-NAGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCFO-CAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OCR-1 Boston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-2 New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-3 Philadelphia,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
OCR-4 Atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-5 Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-6 Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-7 Kansas City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-8 Denver,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
OCR-9 San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-10 Seattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-12 Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCR-Metro D.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OESE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OLCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OM-PIRMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
OPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OPEPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSDFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OSERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OVAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
