Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AF,29,7,1,0,0,0,0,0,0,0,0,0,0,37,
AFRICOM,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
ARMY,1058,130,2,1,0,0,1,1,0,0,0,0,0,1193,
ASBCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CENTCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DCAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DCMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DeCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DFAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DISA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DLA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
DoD IG,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
DoDEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EUCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NAVY,39,1,0,1,1,0,0,0,0,0,0,0,0,42,
NGA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
NGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NORTHCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSA,3,0,0,0,0,0,0,0,0,0,0,1,0,4,
OSD/JS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PACOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SOCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SOUTHCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STRATCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TRANSCOM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
TRICARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,1130,140,4,2,1,0,2,1,0,0,0,1,0,1281,
