Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIA,2,3,,48,20,31,,569,,,,,
BLM,3,5,,45,20,36,,476,,,,,
BOEMRE,,1,,2,16,23,,199,,,,,
BOR,12,22,5,75,19,25,,280,11,11,11,11,
FWS,3,7,2,19,17,31,,667,12,12,7,17,
NPS,,4,,43,6,16,,313,19,37,2,124,
OIG,2,3,1,6,70,101,1,272,,,,,
OS,,,,,20,59,,816,,,,,
OSM,,,,,13,44,,545,,,,,
SOL,,,,,47,179,,1051,,,,,
USGS,,,,,15,19,,179,,,,,
Total,2,4,0,75,17,31,0,1051,16,28,2,124,
