Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
AF,13,34,1,3064,41,92,1,3608,23,107,7,1023,
AFRICOM,15,15,15,15,,,,,,,,,
ARMY,,14,,1281,,38,,1262,,14,,524,
ASBCA,1,1,1,1,,,,,,,,,
CENTCOM,223,255,5,784,415,475,25,1659,,,,,
DCAA,12,6,1,24,21,14,1,42,,,,,
DCMA,25,46,1,204,275,240,19,417,25,25,25,25,
DeCA,,11,,65,,,,,,,,,
DFAS,17,16,1,39,26,28,2,47,,,,,
DIA,12,11,1,20,786,969,21,3567,,,,,
DISA,70,83,1,254,34,34,1,115,,,,,
DLA,1,14,1,179,15,36,1,314,,,,,
DoD IG,6,7,1,16,22,43,,260,10,50,6,133,
DoDEA,30,37,3,112,83,66,8,113,,,,,
DSS,7,12,2,20,,,,,,,,,
DTIC,19,14,2,27,,,,,,,,,
DTRA,12,30,1,135,48,78,1,298,,,,,
EUCOM,57,140,3,1192,453,453,11,1074,,,,,
JFCOM,27,24,16,43,28,122,7,674,,,,,
NAVY,12,35,,3760,31,81,,1336,8,8,,63,
NGA,,,,,263,333,10,870,,,,,
NGB,42,43,6,113,104,90,36,177,,,,,
NORTHCOM,22,30,10,120,,,,,,,,,
NRO,6,10,,58,148,196,6,720,,,,,
NSA,132,204,3,1572,595,962,211,4377,548,548,548,548,
OSD/JS,7,36,,785,115,624,5,4475,266,266,266,266,
PACOM,1,1,1,1,23,30,1,82,,,,,
SOCOM,29,242,1,1493,56,288,15,2088,,,,,
SOUTHCOM,7,11,4,23,62,84,101,297,,,,,
STRATCOM,15,67,1,496,193,632,47,3816,,,,,
TRANSCOM,2,13,1,74,110,192,50,755,,,,,
TRICARE,13,20,,83,104,134,,382,,,,,
Total,0,19,0,3760,0,111,0,4475,0,16,0,1023,
