Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ATLANTA,15,14.0752,1,33,0,0,0,0,0,0,0,0,
BIRMINGHAM,19,18.7817,1,70,0,0,0,0,0,0,0,0,
CHARLOTTE,20,21.4077,1,60,0,0,0,0,2,2,2,2,
CHICAGO,18,16.0583,1,95,0,0,0,0,0,0,0,0,
DALLAS,9,13.8848,1,77,0,0,0,0,0,0,0,0,
HOUSTON,13,12.0773,1,30,0,0,0,0,0,0,0,0,
INDIANAPOLIS,9,9.13422,1,41,0,0,0,0,0,0,0,0,
LOS ANGELES,8,7.73973,1,20,0,0,0,0,0,0,0,0,
MEMPHIS,18,17.388,1,54,0,0,0,0,0,0,0,0,
MIAMI,18,17.333,1,67,0,0,0,0,0,0,0,0,
NEW YORK,26,40.0504,1,269,0,0,0,0,0,0,0,0,
OLC/HDQ,23,26.8548,1,81,0,0,0,0,0,0,0,0,
PHILADELPHIA,24,27.2592,1,165,0,0,0,0,0,0,0,0,
PHOENIX,14,13.2632,1,30,0,0,0,0,0,0,0,0,
SAN FRANCISCO,7,8.89397,1,100,0,0,0,0,0,0,0,0,
ST. LOUIS,18,16.7423,1,30,0,0,0,0,0,0,0,0,
WFO,19,17.28,1,29,0,0,0,0,0,0,0,0,
Total,16,16,1,269,0,0,0,0,2,2,2,2,
