Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ARC,24,39.82,1,276,,,,,,,,,
DFRC,15,20.55,1,82,,,,,,,,,
GRC,22,27.33,13,47,23,62.42,6,448,,,,,
GSFC,13.5,22.75,,82,29,39.74,,298,,,,,
HQ,34,69.05,,328,163,200.15,15,846,,,,,
JPL,5,8.71,,37,15,28.25,6,77,,,,,
JSC,,2.25,,9,13,21.37,,351,,,,,
KSC,9.5,12.42,,48,23,47.69,,318,,,,,
LaRC,0.5,0.5,,1,22,91.9,3,841,,,,,
MSFC,12,13.03,,49,40.5,44.25,9,100,,,,,
NSSC,15.5,19.25,9,39,30.5,40.5,16,85,,,,,
OIG,20,18.85,3,47,,,,,,,,,
SSC,12,15.1,,50,342,342,342,342,,,,,
Total,14,24,0,328,24,61,0,846,0,0,0,0,
