Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
Office of the AG,15,31.49,,360,254,329.68,22,950,269,289.6,126,507,
Office of the DAG,25.5,65.6,1,280,313,397.31,7,972,268,277.43,167,507,
Office of the Assoc. AG,21,57.5,13,175,196,224.1,51,524,271,343,147,525,
Antitrust,4,5.91,,14,119,222.05,11,811,,,,,
ATF,,,,,16,21.64,,266,,,,,
BOP,5,15.49,,406,68,95.72,,744,17,36.57,,125,
Civil,,,,,10,31.7,,653,,,,,
Civil Rights,5,10.34,,146,116,224.81,1,834,,,,,
COPS,,,,,4,5.38,,19,,,,,
Criminal,21,32,6,257,64,110.82,5,430,127,127,61,193,
CRS,9,8.91,4,18,30,31,25,38,,,,,
DEA,,,,,114,142.26,,870,241,209.56,51,391,
ENRD,18.5,18.47,5,60,38,63.53,3,178,6,6,6,6,
EOIR,17,21.53,,622,12,14.98,3,63,21,41.33,16,87,
EOUSA,,,,,48,101.16,4,1237,639,639,639,639,
EOUST,6,9.13,2,22,28,44.31,4,186,,,,,
FBI,82,98.52,1,592,142,185.09,2,775,243.5,246.05,50,562,
FCSC,,,,,21,26.88,,62,,,,,
JMD,20,27.45,1,114,45,86.83,4,322,4.5,4.5,4,5,
NSD,3,12.39,,255,127,361.36,27,1102,337,405.33,28,851,
OCDETF,19,25.67,9,49,176,176,176,176,,,,,
OFDT,17,28.2,1,129,14,18.86,2,38,,,,,
OIG,5,11.46,,261,51,57.74,22,126,,,,,
OIP,16,38.66,,537,475,373.75,20,641,,,,,
OIPL,,,,,65,98,63,166,,,,,
OJP,8,11.97,,66,32,72.33,1,721,,,,,
OLA,43.5,53.63,5,151,271.5,331.14,7,879,265.5,250,198,271,
OLC,9,16.94,,133,587,463.12,15,828,347,347,347,347,
OLP,8,10.52,2,30,19.5,75.59,1,374,,,,,
OPR,31,49.22,17,170,189.5,183.83,69,275,21,21,21,21,
OSG,8,15.15,,167,45,45,30,60,470,470,470,470,
OVW,16,14.37,,30,,,,,,,,,
Pardon Attorney,3,4.37,,18,,,,,,,,,
Public Affairs,,,,,127,168.83,40,374,202.5,202.5,46,359,
PRAO,20,19.1,,58,,,,,,,,,
TAX,6,13.74,,100,92,88.14,34,120,,,,,
USMS,3,14.01,,207,53,53,53,53,120,120,120,120,
USNCB,23.5,39.01,1,289,100.5,116.8,54,299,4,4,4,4,
USPC,2,7.88,,113,16,39.16,,434,,,,,
Total,15,22,0,622,58,114,0,1237,236,228,0,851,
