Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
FSIP,1,5,,20,,,,,,,,,
Authority,11,13,2,28,12,66,21,156,,,,,
IG,3,3,3,3,,,,,,,,,
OGC,0,0,0,0,,,,,,,,,
ATRO,10,10,9,10,,,,,,,,,
BORO,2,3,1,3,,,,,,,,,
CHRO,3,3,3,3,,,,,,,,,
DARO,16,16,14,17,,,,,,,,,
DERO,0,0,0,0,,,,,,,,,
SFRO,15,15,15,15,,,,,,,,,
WARO,1,1,1,2,,,,,,,,,
Total,8,9,0,28,21,66,21,156,0,0,0,0,
