Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIS,13,10.9,3,17,38,77.71,16,234,,,,,
Census,6,6.31,,23,17,15.4,3,32,3,3.95,,18,
EDA,13,12.5,4,20,23.5,29.94,21,145,,,,,
ESA,28,28,8,48,,,,,,,,,
ITA,15,15,15,15,65,65,65,65,,,,,
NIST,7,7.72,,18,100,235.88,23,2020,,,,,
NOAA,252,251,,588,302,289,12,615,17,28,2,60,
NTIA,10,10.43,3,25,160,211.35,24,658,149,224,120,403,
NTIS,20.5,20.2,13,28,65,65,65,65,,,,,
OIG,16.5,16.18,,63,39,43.24,14,177,1,2.36,,7,
OS,32,75.29,,415,247,279.52,33,623,153,190.67,81,338,
PTO,18,17.33,1,60,37,39.91,17,96,,,,,
Total,16,49,0,588,51,139,3,2020,4,25,0,338,
