Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,248,74,63,31,27,25,11,7,9,5,13,1,0,514,
OIG,98,8,2,0,1,0,0,0,0,1,2,0,0,112,
R01,51,21,1,0,0,0,0,0,0,0,0,0,0,73,
R02,56,25,1,0,0,0,0,0,0,0,0,0,0,82,
R03,79,19,1,2,0,0,0,0,0,0,0,0,0,101,
R04,262,91,12,4,0,0,0,0,0,0,0,0,1,370,
R05,78,22,1,0,0,0,0,0,0,0,0,0,0,101,
R06,101,17,1,2,1,0,0,0,0,0,0,0,0,122,
R07,17,8,7,3,0,1,0,0,0,0,0,0,0,36,
R08,71,14,1,0,0,0,0,0,0,0,0,1,0,87,
R09,93,29,4,2,1,0,0,1,0,0,0,0,0,130,
R0X,62,9,0,0,1,0,0,0,0,0,0,0,0,72,
Total,1216,337,94,44,31,26,11,8,9,6,15,2,1,1800,
