Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ARC,18,6,1,0,0,0,0,0,0,0,0,0,0,25,
DFRC,7,2,1,1,0,1,0,0,0,0,0,0,0,12,
GRC,7,1,0,0,0,0,0,0,0,0,0,0,0,8,
GSFC,37,10,3,1,0,0,0,0,0,0,0,0,0,51,
HQ,105,3,0,0,0,0,0,1,0,0,0,0,0,109,
JPL,17,0,0,0,0,0,0,0,0,0,0,0,0,17,
JSC,27,2,0,0,0,0,0,0,0,0,0,0,0,29,
KSC,15,1,0,0,0,0,0,0,0,0,0,0,0,16,
LaRC,22,0,0,0,0,0,0,0,0,0,0,0,0,22,
MSFC,73,4,0,0,0,0,0,0,0,0,0,0,0,77,
NSSC,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,25,8,6,3,0,0,0,0,0,0,0,0,0,42,
SSC,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
Total,363,37,11,5,0,1,0,1,0,0,0,0,0,418,
