Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BPA,44,60,40,62,
CBFO,22,12,22,11,
CH,34,47,41,47,
EMCBC,33,33,39,28,
GFO,37,48,37,43,
HQ,384,504,337,589,
ID,61,39,60,40,
NETL,31,48,27,50,
NNSA/AL,329,354,315,321,
NR,11,9,10,7,
ORO,273,277,328,323,
OSTI,8,6,8,6,
PNSO,13,8,12,10,
RL,85,90,80,98,
SEPA,1,2,1,2,
SPR,11,10,11,8,
SROO,35,37,32,47,
SWPA,2,7,2,7,
WAPA,27,14,27,15,
Total,1441,1605,1429,1714,
