Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FSIP,9,15,9,15,
Authority,33,38,34,47,
IG,1,3,1,3,
OGC,7,2,7,2,
ATRO,7,3,7,3,
BORO,9,7,9,7,
CHRO,3,1,4,1,
DARO,1,1,1,1,
DERO,2,2,2,2,
SFRO,3,5,1,7,
WARO,2,1,2,1,
Total,77,78,77,89,
