Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BIA,975,1378,1004,1410,
BLM,922,1094,922,1023,
BOEMRE,222,421,218,306,
BOR,202,274,198,271,
FWS,1180,1241,1160,1142,
NPS,857,900,859,895,
OIG,69,98,79,175,
OS,503,445,391,449,
OSM,37,42,35,41,
SOL,95,64,75,75,
USGS,146,170,147,158,
Total,5208,6127,5088,5945,
