Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
AMS,110,126,113,126,
APHIS,1232,708,1656,909,
ASCR,27,5,28,7,
DM,61,63,61,65,
FAS,48,30,53,27,
FNCS,142,177,136,161,
FS,2573,2771,2521,2378,
FSA,6445,14267,6490,14247,
FSIS,318,387,377,248,
GIPSA,115,77,111,77,
NAD,9,10,9,10,
NRCS,448,475,458,476,
OBPA,4,13,4,13,
OCFO,23,27,22,27,
OGC,26,24,29,25,
OIG,148,121,136,145,
OSEC,102,83,87,75,
RD,860,750,871,703,
REE,163,144,159,136,
RMA,92,110,89,107,
Total,12946,20368,13410,19962,
