Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BIS,76,29,83,31,
Census,329,340,298,351,
EDA,51,67,52,68,
ESA,13,10,13,10,
ITA,66,71,86,46,
MBDA,12,4,11,2,
NIST,216,232,202,261,
NOAA,652,709,620,670,
NTIA,99,83,87,87,
NTIS,8,13,8,13,
OIG,85,81,73,93,
OS,252,261,243,274,
PTO,254,302,245,303,
Total,2113,2202,2021,2209,
