Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
AF,7812,7170,7899,7205,
AFRICOM,5,22,1,8,
ARMY,37081,38712,37681,39967,
ASBCA,2,3,2,3,
CENTCOM,337,297,309,350,
DCAA,103,105,111,105,
DCMA,234,244,200,221,
DeCA,258,179,260,167,
DFAS,203,145,215,145,
DIA,610,730,938,1405,
DISA,558,244,639,268,
DLA,6858,7302,6769,7412,
DoD IG,416,434,352,315,
DoDEA,59,73,58,75,
DSS,39,54,40,53,
DTIC,90,95,96,100,
DTRA,177,129,169,145,
EUCOM,79,81,75,78,
JFCOM,50,41,107,52,
NAVY,14303,14203,14410,13599,
NGA,244,128,318,194,
NGB,46,113,47,94,
NORTHCOM,55,39,55,39,
NRO,262,210,302,214,
NSA,1243,1121,1065,1110,
OSD/JS,1695,1543,1899,1632,
PACOM,85,74,91,60,
SOCOM,155,198,168,186,
SOUTHCOM,175,168,189,137,
STRATCOM,101,42,86,51,
TRANSCOM,123,107,164,106,
TRICARE,115,111,75,152,
Total,73573,74117,74790,75648,
