Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
ARC,84,59,89,59,
DFRC,28,33,32,28,
GRC,28,33,35,32,
GSFC,175,171,262,183,
HQ,138,201,248,261,
JPL,48,51,51,51,
JSC,230,210,209,226,
KSC,77,75,71,81,
LaRC,59,36,123,45,
MSFC,111,91,108,97,
NSSC,29,18,27,19,
OGC,3,0,3,0,
OIG,21,34,26,33,
SSC,25,14,23,16,
Total,1056,1026,1307,1131,
