Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BIS,34,42,33,38,
Census,283,286,291,290,
EDA,32,38,35,37,
ESA,5,8,5,8,
ITA,53,48,61,30,
MBDA,5,2,7,3,
NIST,235,207,206,221,
NOAA,515,429,480,441,
NTIA,94,116,89,116,
NTIS,14,8,13,8,
OIG,50,84,48,86,
OS,232,234,201,196,
PTO,255,321,247,319,
Total,1807,1823,1716,1793,
