Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FAA,6834,6650,6899,6434,
FHWA,517,407,531,416,
FMCSA,1945,1793,1921,1785,
FRA,337,376,342,332,
FTA,323,278,324,271,
MARAD,102,134,126,136,
NHTSA,231,220,200,243,
OIG,99,117,98,107,
OST,340,345,326,327,
PHMSA,148,198,153,151,
RITA,48,27,46,26,
SLSDC,22,7,22,7,
Total,10946,10552,10988,10235,
