Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
ACF,285,233,225,322,
CMS,53424,51364,53744,51682,
OIG,664,714,656,726,
AHRQ,57,0,57,6,
CDC,1123,1032,899,1039,
FDA,9598,9990,10492,9702,
HRSA,277,302,219,312,
IHS,107,124,132,102,
NIH,1147,1210,1130,1236,
SAMHSA,173,188,123,162,
OS,1129,1301,1099,1313,
OASH,465,440,462,505,
ACL,18,18,18,18,
Total,68467,66916,69256,67125,
