Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AF,6362,6526,6283,6439,
AFRICOM,69,65,53,39,
ARMY,33056,31156,33315,30743,
ASBCA,3,13,3,12,
CENTCOM,295,260,321,295,
DCAA,105,81,107,82,
DCMA,209,222,221,230,
DeCA,177,146,184,144,
DFAS,266,247,261,253,
DHA,130,222,129,200,
DIA,1312,832,1667,932,
DISA,269,263,249,276,
DLA,5286,3884,5351,3809,
DoD IG,682,764,496,660,
DoDEA,54,46,53,49,
DSS,92,76,95,80,
DTIC,179,232,167,252,
DTRA,122,137,137,130,
EUCOM,96,91,124,92,
JPRA,7,9,8,10,
NAVY,12409,9961,12107,9380,
NGA,96,119,118,115,
NGB,108,116,79,95,
NORTHCOM,109,187,128,187,
NRO,199,167,186,147,
NSA,4328,2990,4060,2593,
OSD/JS,1462,1575,1347,1526,
PACOM,93,75,60,118,
SOCOM,140,225,112,111,
SOUTHCOM,190,175,172,190,
STRATCOM,35,119,25,97,
TRANSCOM,74,74,61,35,
Total,68014,61055,67679,59321,
