Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
OSHS,0,0,0,0,
OCTAE,2,4,2,4,
FSA,177,180,176,198,
IES,50,48,46,46,
IES-NAGB,1,2,1,2,
M,198,157,181,169,
OCFO,1,5,4,4,
OCFO-CAM,44,31,48,29,
OCIO,7,14,6,15,
OCO,1,4,2,2,
OCR,93,133,89,119,
OCR-1 Boston,116,113,131,108,
OCR-2 New York,152,161,138,139,
OCR-3 Philadelphia,94,91,90,92,
OCR-4 Atlanta,43,49,45,40,
OCR-5 Chicago,153,156,151,156,
OCR-6 Dallas,106,110,107,111,
OCR-7 Kansas City,29,21,26,16,
OCR-8 Denver,34,42,35,41,
OCR-9 San Francisco,89,71,91,68,
OCR-10 Seattle,86,86,88,87,
OCR-12 Cleveland,31,37,31,34,
OCR-Metro D.C.,90,81,93,53,
ODS,11,10,8,8,
OESE,91,74,102,71,
OGC,3,2,3,3,
OIG,68,60,70,60,
OII,26,36,29,34,
OLCA,6,5,6,6,
OM,59,41,61,39,
OM-PIRMS,278,256,287,250,
OPE,85,81,88,80,
OPEPD,5,4,5,2,
OS,10,16,11,11,
OSERS,82,47,83,44,
OUS,1,6,1,6,
Total,2322,2234,2335,2147,
