Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,1039,1004,881,981,
OIG,139,129,135,128,
R01,65,83,64,80,
R02,90,101,97,95,
R03,167,142,174,137,
R04,240,213,242,203,
R05,119,103,120,95,
R06,115,93,121,96,
R07,34,35,35,31,
R08,97,79,111,85,
R09,192,206,178,204,
R0X,70,42,66,45,
Total,2367,2230,2224,2180,
