Acronym,Institute/Center
NCATS,National Center for Advancing Translational Sciences
NCI,National Cancer Institute
NHGR,National Human Genome Research Institute
NINR,National Institute of Nursing Research
NCRR,National Center for Research Resources
NEI,National Eye Institute
NHLBI,"National Heart, Lung, and Blood Institute"
NIA,National Institute on Aging
NIAAA,National Institute on Alcohol Abuse and Alcoholism
NIAID,National Institute of Allergy and Infectious Diseases
NIAMS,National Institute on Arthritis and Musculoskeletal and Skin Diseases
NIBIB,National Institute of Biomedical Imaging and Bioengineering
NICHD,National Institute of Child Health and Human Development
NIDA,National Institute on Drug Abuse
NIDCD,National Institute on Deafness and Other Communication Disorders
NIDDK,National Institute of Diabetes and Digestive and Kidney Diseases
NIDCR,National Institute of Dental and Craniofacial Research
NIEHS,National Institute of Environmental Health Sciences
NIGMS,National Institute of General Medical Sciences
NIMH,National Institute of Mental Health
NINDS,National Institute of Neurological Disorders and Stroke
NLM,National Library of Medicine
CC,Warren Grant Magnuson Clinical Center
CIT,Center for Information Technology
NCCAM,National Center for Complementary and Alternative Medicine
NCMHD,National Center on Minority Health and Health Disparities
OFM,Office of Financial Management
OALM,Office of Acquisition and Logistics Management
CSR,Center for Scientific Review
FIC,Fogarty International Center
OBA,Office of Biotechnology Activities
OER,Office of Extramural Research
OMA,Office of Management Assessment
ORF,Office of Research Facilities
ORS,Office of Research Services
OTT,Office of Technology Transfer
