SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
281,GSAD,DOMINICKS SEAFOOD INC,PO BOX 692,BAYOU LABATRE,AL,36509,08/13/2014,05/31/2015
769,GSAD,SAFE HARBOUR SEAFOOD INC,5822 HERITAGE CIR,BON SECOUR,AL,36511-3401,08/08/2014,07/31/2015
2603,GSAD,MAYPORT C AND C FISHERIES INC,36 W 6TH ST,ATLANTIC BCH,FL,32233-3486,09/18/2014,11/30/2015
2580,GSAD,M&M BECKER SEAFOOD INC,274 LOMA LN,BIG PINE KEY,FL,33043-3112,08/25/2014,01/31/2016
344,GSAD,ROCHELE INC,1001 BELLEAIR RD,CLEARWATER,FL,33756-7131,10/21/2014,05/31/2015
2248,GSAD,CORTEZ BAIT & SEAFOOD INC,PO BOX 579,CORTEZ,FL,34215-0579,09/29/2014,09/30/2015
205,GSAD,GILL MARINE INC,12645 W FORT ISLAND TRL,CRYSTAL RIVER,FL,34429-5290,09/22/2014,09/30/2015
2576,GSAD,BLUE OCEAN SEAFOOD INC,10780 SW 190TH ST,CUTLER BAY,FL,33157-7618,09/23/2014,02/29/2016
1407,GSAD,SOUTH FLORIDA SEAFOOD INC,131 W HILLSBORO BLVD,DEERFIELD BCH,FL,33441-3431,08/15/2014,09/30/2015
1273,GSAD,SEXTONS SEAFOOD INC,PO BOX 1683,DESTIN,FL,32540-1683,08/07/2014,07/31/2015
2560,GSAD,FV KDS INC,11110 SW 109TH ST,DUNNELLON,FL,34432-5577,08/07/2014,01/31/2016
1071,GSAD,BARBERS SEAFOOD INC,PO BOX 421,EASTPOINT,FL,32328-0421,10/21/2014,10/31/2015
2545,GSAD,LAGOON BAIT & TACKLE,4233 US HIGHWAY 1,EDGEWATER,FL,32141-7344,08/07/2014,04/30/2015
2292,GSAD,ANOTHER KEEPER CHARTERS LLC,8018 BAY POINTE DR,ENGLEWOOD,FL,34224-3500,09/23/2014,06/30/2015
2587,GSAD,M & S SEAFOOD INC,1344 WALDEN DR,FORT MYERS,FL,33901-8836,09/03/2014,05/31/2015
2537,GSAD,SOUTH FLORIDA SEAFOOD DISTRIBUTION LLC,PO BOX 640,FORT MYERS,FL,33902-0640,08/07/2014,04/30/2015
1931,GSAD,BLUE STAR SHRIMP CO,6341 METRO PLANTATION RD,FORT MYERS,FL,33966-1289,08/13/2014,08/31/2015
39,GSAD,INLET FISHERIES INC,PO BOX 3604,FORT PIERCE,FL,34948-3604,08/07/2014,10/31/2015
2596,GSAD,FINSTER MURPHYS INC,1497 SE 17TH ST,FT LAUDERDALE,FL,33316-1709,09/09/2014,03/31/2015
2609,GSAD,TRICO SHRIMP CO INC,PO BOX 6189,FT MYERS BCH,FL,33932-6189,10/17/2014,12/31/2015
1171,GSAD,NORTHWEST SEAFOOD INC,4110 NW 16TH BLVD,GAINESVILLE,FL,32605-3506,08/07/2014,08/31/2015
1384,GSAD,KIRK FISH COMPANY,PO BOX 92,GOODLAND,FL,34140-0092,09/11/2014,08/31/2015
2600,GSAD,LUIS NOVO PESCAO CORP,1214 W 80TH ST,HIALEAH,FL,33014-3450,09/16/2014,06/30/2015
2608,GSAD,FLASH CATERING LLC,9126 SE BRIDGE RD,HOBE SOUND,FL,33455-4417,09/30/2014,07/31/2015
1705,GSAD,MOLESTER SPORTFISHING & YACHTING LLC,3917 GARFIELD ST,HOLLYWOOD,FL,33021-6003,08/07/2014,08/31/2015
2568,GSAD,A-OK FISH MARKET,227 S KROME AVE,HOMESTEAD,FL,33030-7212,08/07/2014,09/30/2015
2588,GSAD,AIFA SEAFOOD INC,155 SE 36TH AVE,HOMESTEAD,FL,33033-5949,09/12/2014,08/31/2015
1155,GSAD,CRABBY BILLS SEAFOOD INC,401 GULF BLVD,INDIAN RK BCH,FL,33785-2539,08/25/2014,04/30/2015
611,GSAD,NICHOLS SEAFOOD SUPPLIERS INC,146 VENETIAN DR,ISLAMORADA,FL,33036-4208,09/04/2014,09/30/2015
2456,GSAD,FISH MAFIA INC,201 10TH AVE N,JAX BCH,FL,32250-7289,10/16/2014,10/31/2015
2173,GSAD,GUANABANAS RESTAURANT INC,960 N HIGHWAY A1A,JUPITER,FL,33477-4599,09/02/2014,12/31/2015
400,GSAD,KEY LARGO FISHERIES INC,PO BOX 273,KEY LARGO,FL,33037,10/07/2014,11/30/2015
1373,GSAD,SCHOONER SEAFOODS INC,PO BOX 373050,KEY LARGO,FL,33037-8050,10/15/2014,10/31/2015
2599,GSAD,EVAN CRISTOPHER TINGLEY,2824 PATTERSON AVE,KEY WEST,FL,33040-4048,09/11/2014,01/31/2016
1965,GSAD,HISTORIC SEAPORT DISTRICT INC,5130 OVERSEAS HWY,KEY WEST,FL,33040-4324,09/16/2014,09/30/2015
1339,GSAD,RUSTY ANCHOR SEAFOOD OF KEY WEST INC,5510 3RD AVE,KEY WEST,FL,33040-6032,08/07/2014,07/31/2015
1995,GSAD,ROBERT BRUCE ELKINS,7 HIGGS LN,KEY WEST,FL,33040-6808,09/04/2014,09/30/2015
2341,GSAD,930 EATON STREET VENTURE LLC,801 EATON ST,KEY WEST,FL,33040-6920,08/18/2014,08/31/2015
2572,GSAD,LIGHTHOUSE SEAFOOD INC,101 N COUNTRY CLUB RD,LAKE MARY,FL,32746-3247,08/14/2014,01/31/2016
1639,GSAD,DAY BOAT SEAFOOD LLC,1335 OLD DIXIE HWY,LAKE PARK,FL,33403-1966,10/22/2014,11/30/2015
2613,GSAD,ANATNAL INC,300 E OCEAN AVE,LANTANA,FL,33462-3257,10/15/2014,01/31/2016
959,GSAD,FISHERMENS ICE & BAIT INC,PO BOX 8127,MADEIRA BEACH,FL,33738-8127,10/14/2014,11/30/2015
2434,GSAD,GRASSY KEY DAIRY BAR INC,58316 OVERSEAS HWY,MARATHON,FL,33050,08/12/2014,09/30/2015
2079,GSAD,ELITE SKY INTERNATIONAL INC,1100 OVERSEAS HWY,MARATHON,FL,33050-2014,08/27/2014,01/31/2016
683,GSAD,THE LOBSTER CONNECTION CORP,1280 OCEANVIEW AVE,MARATHON,FL,33050-2115,08/21/2014,08/31/2015
2585,GSAD,DANIELS FISHERIES INC,110 SAGUARO LN,MARATHON,FL,33050-2429,08/27/2014,03/31/2015
2575,GSAD,ISLAND SKIPPER FISHING INC,7987 SHARK DR,MARATHON,FL,33050-2839,08/19/2014,12/31/2015
2550,GSAD,NEW SUNSHINE GROUP LLC,10651 7TH AVENUE GULF,MARATHON,FL,33050-3036,08/07/2014,08/31/2015
2209,GSAD,KING SEAFOOD LLC,10925 OVERSEAS HWY,MARATHON,FL,33050-3456,08/19/2014,11/30/2015
2581,GSAD,CRAMER SEAFOOD INC,34 SEA VIEW AVE,MARATHON,FL,33050-6908,10/02/2014,08/31/2015
1852,GSAD,LEE BE FISH INC,350 ROYAL PALM DR,MARCO ISLAND,FL,34145-2017,08/07/2014,08/31/2015
2472,GSAD,MOONS SEAFOOD COMPANY,461 N HARBOR CITY BLVD,MELBOURNE,FL,32935-6857,09/16/2014,10/31/2015
