SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
2631,HMS-ITP,C & C INTERNATIONAL TRADING CO,PO BOX 94056,NORTH LITTLE ROCK,AR,72190,07/01/2016,07/31/2017
1345,HMS-ITP,STANDARD FISHERIES CORP,PO BOX 1946,SAN PEDRO,CA,90733,09/01/2016,09/30/2017
2818,HMS-ITP,TROPIC LLC,PO BOX 7048,SANTA MONICA,CA,90406,09/06/2016,01/31/2018
1533,HMS-ITP,TAIWAN SEAFOOD & FISH CORP,733 S GLADYS AVE,LOS ANGELES,CA,90021,03/01/2016,03/31/2017
1404,HMS-ITP,H S SEAFOOD INC,PO BOX 2685,CORONA,CA,92878,08/01/2016,08/31/2017
1492,HMS-ITP,POSEIDON SEAFOOD CORPORATION,3690 NOAKES STREET,LOS ANGELES,CA,90023,02/01/2016,02/28/2017
1077,HMS-ITP,OCEAN WEST SEAFOOD INC,PO BOX 6305,SAN PEDRO,CA,90734,02/22/2016,08/31/2017
1562,HMS-ITP,PACIFIC MARINE BUNKERING INC,PO BOX 195,WOODLAND HILLS,CA,91365,06/01/2016,06/30/2017
1571,HMS-ITP,TRI MARINE FISH COMPANY LLC,220 CANNERY STREET,TERMINAL ISLAND,CA,90731,09/01/2016,09/30/2017
1139,HMS-ITP,"SYM-PAC INTERNATIONAL, INC","1600 N. POTRERO GRANE DR., SUITE NO. 7",SO. SAN GABRIEL,CA,91770,03/01/2016,03/31/2017
1593,HMS-ITP,LIGHTHOUSE TRADE INC,3649 MILITARY AVE,LOS ANGELES,CA,90034,03/01/2016,03/31/2017
841,HMS-ITP,J AND D SEAFOOD INC,2200 SIGNAL PLACE,SAN PEDRO,CA,90731,07/01/2016,07/31/2017
1003,HMS-ITP,PACIFIC AMERICAN FISH CO INC,5525 SOUTH SANTE FE AVE,VERNON,CA,90058,07/01/2016,07/31/2017
1687,HMS-ITP,J DELUCA FISH COMPANY INC,2194 SIGNAL PLACE,SAN PEDRO,CA,90731,03/01/2016,03/31/2017
813,HMS-ITP,NEW ZEALAND SEAFOOD MARKETING,4321 BOYLE AVENUE,VERNON,CA,90058,06/01/2016,06/30/2017
1708,HMS-ITP,DAY-LEE FOODS INC,13055 EAST MOLETTE ST,SANTA FE SPRINGS,CA,90670,07/01/2016,07/31/2017
1711,HMS-ITP,PACIFIC PARADISE FOODS INC,"8940 SORENSEN AVE, SUITE 1",SANTA FE SPRINGS,CA,90670,07/01/2016,07/31/2017
1740,HMS-ITP,COSMOS GRACE INC,9060 SOUTHVIEW RD,SAN GABRIEL,CA,91775,05/01/2016,05/31/2017
833,HMS-ITP,UNIFIED SEAFOOD CO INC,556 TOWNE AVENUE,LOS ANGELES,CA,90013,08/01/2016,08/31/2017
1757,HMS-ITP,TRUE WORLD FOODS SF LLC,1815 WILLIAMS STREET,SAN LEANDRO,CA,94577,04/01/2016,04/30/2017
848,HMS-ITP,PRIME TIME SEAFOOD INC,"11099 S LA CIENEGA BLVD, #272",LOS ANGELES,CA,90045,02/01/2016,02/28/2017
