SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
550,SD,BRYANT PRODUCTS INC,PO BOX 357,BAYOU LABATRE,AL,36509-0357,05/17/2012,04/30/2013
2056,SD,AQUILA SEAFOOD INC,PO BOX 150,BON SECOUR,AL,36511-0150,04/01/2012,03/31/2013
1217,SD,CAPTAIN JACKIES SEAFOOD INC,9675 DAUPHIN ISLAND PKWY,THEODORE,AL,36582-7231,12/01/2012,11/30/2013
2307,SD,GLOBAL QUALITY FOODS INC,3524 INVESTMENT BLVD,HAYWARD,CA,94545-3707,02/10/2012,03/31/2013
1293,SD,P AND T FLANNERY SEAFOODS INC,3445 CALIFORNIA ST,SAN FRANCISCO,CA,94118-1836,11/20/2012,09/30/2013
849,SD,TOHO AMERICA CORPORATION,2742 BORDER AVE,TORRANCE,CA,90501-4636,01/23/2013,12/31/2013
1464,SD,H & N FOODS INTERNATIONAL,5580 S ALAMEDA ST,VERNON,CA,90058-3426,04/01/2012,03/31/2013
2128,SD,SEA WELL SEAFOOD INC,3 LIBERTY ST,PAWCATUCK,CT,6379,01/01/2013,12/31/2013
1200,SD,W E L D INC DBA SANDBAR RESTAURANT,PO BOX 1478,ANNA MARIA,FL,34216-1478,06/01/2012,05/31/2013
154,SD,WATER STREET SEAFOOD INC,PO BOX 121,APALACHICOLA,FL,32320,01/01/2013,12/31/2013
134,SD,MISS BECKY SEAFOOD INC,4371 OCEAN ST,ATLANTIC BCH,FL,32233-2417,04/01/2012,03/31/2013
2127,SD,JOSEPH HOLT MORTON II,5730 BAY POINT RD,BOKEELIA,FL,33922-3331,09/20/2012,10/31/2013
146,SD,SEAFOOD ATLANTIC INC,4065 TANGELO AVE,COCOA,FL,32926-2839,04/13/2012,03/31/2013
1303,SD,WILLLIAM FRANCIS GODWIN III,735 ESCOBAR AVE,CORAL GABLES,FL,33134-7013,11/01/2012,05/31/2013
275,SD,A P BELL FISH CO INC,PO BOX 276,CORTEZ,FL,34215-0276,04/01/2012,03/31/2013
639,SD,CAPE CANAVERAL SHRIMP COMPANY INC,PO BOX 269,CPE CANAVERAL,FL,32920-0269,02/01/2013,01/31/2014
116,SD,A FISHERMANS BEST INC,PO BOX 606,DANIA BEACH,FL,33004-0606,05/02/2012,04/30/2013
2296,SD,CAPTAIN CLAY & SONS FISH MARKET,308 NE 4TH ST,DELRAY BEACH,FL,33444-3831,02/27/2012,02/28/2013
313,SD,ARIEL SEAFOODS OF FLORIDA INC,PO BOX 5401,DESTIN,FL,32540-5401,05/01/2012,04/30/2013
95,SD,HARBOR DOCKS INC,538 HIGHWAY 98 E,DESTIN,FL,32541-2328,07/01/2012,06/30/2013
805,SD,GRANMAR PRODUCTS INC,2731 NW 104TH CT,DORAL,FL,33172-2167,08/01/2012,07/31/2013
39,SD,INLET FISHERIES INC,PO BOX 3604,FORT PIERCE,FL,34948-3604,11/01/2012,10/31/2013
1103,SD,PELICAN SEAFOOD CO INC,735 N US #1,FORT PIERCE,FL,34950,04/01/2012,03/31/2013
2123,SD,Q PLUS FOOD LLC,PO BOX 24415,FT LAUDERDALE,FL,33307-4415,12/17/2012,04/30/2013
1091,SD,THE FISH PEDDLER EAST INC,2805 E COMMERCIAL BLVD,FT LAUDERDALE,FL,33308-4205,05/01/2012,04/30/2013
1921,SD,W AND O INC,4331 RAVENSWOOD RD,FT LAUDERDALE,FL,33312-5348,10/01/2012,09/30/2013
186,SD,TWO BILLS SEAFOOD INC,4501 SW 44TH AVE,FT LAUDERDALE,FL,33314-4738,05/01/2012,04/30/2013
1918,SD,GOIN OFF ENTERPRISES INC,800 SW 12TH CT,FT LAUDERDALE,FL,33315-1445,02/01/2013,01/31/2014
1066,SD,THE FISHMONGER OF FORT MYERS BEACH INC,19030 SAN CARLOS BLVD,FT MYERS BCH,FL,33931-2219,04/01/2012,03/31/2013
1413,SD,MARIAS FRESH SEAFOOD MARKET LLC,PO BOX 1373,GULF BREEZE,FL,32562-1373,01/02/2013,12/31/2013
368,SD,JARVICO INC,2046 MCKINLEY ST,HOLLYWOOD,FL,33020-3165,06/01/2012,05/31/2013
1291,SD,DELAWARE CHICKEN FARM INC,4191 N STATE ROAD 7,HOLLYWOOD,FL,33021-1510,03/01/2012,02/28/2013
1705,SD,MOLESTER SPORTFISHING & YACHTING LLC,3917 GARFIELD ST,HOLLYWOOD,FL,33021-6003,09/01/2012,08/31/2013
422,SD,WHITNEY AND SON SEAFOODS INC,13326 US HIGHWAY 19,HUDSON,FL,34667-1658,11/01/2012,10/31/2013
491,SD,BACALAO BROTHERS INC,1419 NE JENSEN BEACH BLVD,JENSEN BEACH,FL,34957-7225,06/01/2012,05/31/2013
1445,SD,SCHOONERS MARKET INC,1001 N A1A,JUPITER,FL,33477-4441,03/01/2012,02/28/2013
400,SD,KEY LARGO FISHERIES INC,PO BOX 273,KEY LARGO,FL,33037,12/01/2012,11/30/2013
1373,SD,SCHOONER SEAFOODS INC,PO BOX 373050,KEY LARGO,FL,33037-8050,11/01/2012,10/31/2013
1965,SD,HISTORIC SEAPORT DISTRICT INC,5130 OVERSEAS HWY,KEY WEST,FL,33040-4324,10/01/2012,09/30/2013
