SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
550,SK,BRYANT PRODUCTS INC,PO BOX 357,BAYOU LABATRE,AL,36509-0357,04/22/2013,03/31/2014
769,SK,SAFE HARBOUR SEAFOOD INC,5822 HERITAGE CIR,BON SECOUR,AL,36511-3401,08/02/2013,07/31/2014
1822,SK,DEER RIVER SEAFOOD LLC,7622 DEER RIVER RD,THEODORE,AL,36582-9317,11/01/2012,03/31/2014
134,SK,MISS BECKY SEAFOOD INC,4371 OCEAN ST,ATLANTIC BCH,FL,32233-2417,04/01/2013,03/31/2014
1784,SK,PHILLIP NORMAN GOULD,PO BOX 430071,BIG PINE KEY,FL,33043-0071,01/10/2013,11/30/2013
696,SK,SEACREST NATURAL PRODUCTS INC,PO BOX 272616,BOCA RATON,FL,33427,02/01/2013,01/31/2014
2439,SK,POSEIDON & SONS AQUATICS LLC,3090 LIVE OAK ST,CLEARWATER,FL,33763-0906,05/09/2013,03/31/2014
146,SK,SEAFOOD ATLANTIC INC,4065 TANGELO AVE,COCOA,FL,32926-2839,04/15/2013,03/31/2014
275,SK,A P BELL FISH CO INC,PO BOX 276,CORTEZ,FL,34215-0276,04/01/2013,01/31/2014
639,SK,CAPE CANAVERAL SHRIMP COMPANY INC,PO BOX 269,CPE CANAVERAL,FL,32920-0269,02/01/2013,01/31/2014
95,SK,HARBOR DOCKS INC,538 HIGHWAY 98 E,DESTIN,FL,32541-2328,07/02/2013,06/30/2014
186,SK,TWO BILLS SEAFOOD INC,4501 SW 44TH AVE,FT LAUDERDALE,FL,33314-4738,05/01/2013,04/30/2014
1066,SK,THE FISHMONGER OF FORT MYERS BEACH INC,19030 SAN CARLOS BLVD,FT MYERS BCH,FL,33931-2219,04/03/2013,03/31/2014
400,SK,KEY LARGO FISHERIES INC,PO BOX 273,KEY LARGO,FL,33037,12/01/2012,11/30/2013
1114,SK,FISHBUSTERZ LLC,6840 FRONT ST,KEY WEST,FL,33040-6054,05/01/2013,04/30/2014
1639,SK,DAY BOAT SEAFOOD LLC,1335 OLD DIXIE HWY,LAKE PARK,FL,33403-1966,12/01/2012,11/30/2013
959,SK,FISHERMENS ICE & BAIT INC,PO BOX 8127,MADEIRA BEACH,FL,33738-8127,12/01/2012,11/30/2013
1050,SK,DYNASTY MARINE ASSOCIATES INC,10602 7TH AVENUE GULF,MARATHON,FL,33050-3035,04/01/2013,03/31/2014
2278,SK,KEY MARINE INC,PO BOX 522414,MARATHON,FL,33052-2414,11/01/2012,10/31/2013
22,SK,FLORIBBEAN WHOLESALE INC,5151 NW 17TH ST,MARGATE,FL,33063-3781,12/01/2012,11/30/2013
654,SK,CASABLANCA FISH MARKET,404 NW NORTH RIVER DR,MIAMI,FL,33128-1628,06/01/2013,05/31/2014
1042,SK,HULLS SEAFOOD MARKET INC,111 W GRANADA BLVD,ORMOND BEACH,FL,32174-6303,09/01/2013,08/31/2014
356,SK,TERENCE GREGORY ABRAMS,PO BOX 1030,PANAMA CITY,FL,32402-1030,02/04/2013,02/28/2014
907,SK,KINGS SEAFOOD INC,PO BOX 291607,PORT ORANGE,FL,32129-1607,11/01/2012,10/31/2013
467,SK,BAMA SEA PRODUCTS INC,756 28TH ST S,ST PETERSBURG,FL,33712,01/01/2013,12/31/2013
581,SK,RISING SUN FISHERIES INC,2860 DARTMOUTH AVE N,ST PETERSBURG,FL,33713-7724,06/01/2013,05/31/2014
2406,SK,FLORIDA MARINE AQUACULTURE INC,PO BOX 5098,SUN CITY CTR,FL,33571-5098,11/29/2012,12/31/2013
2426,SK,TAMPA BAY SALTWATER INC,1720 W ELDRED DR,TAMPA,FL,33603-2814,03/21/2013,06/30/2014
666,SK,COX SEAFOOD TARPON SPRINGS INC,PO BOX 1973,TARPON SPGS,FL,34688,02/01/2013,01/31/2014
174,SK,PELICAN POINT SEAFOOD,933 DODECANESE BLVD,TARPON SPGS,FL,34689-3135,07/19/2013,05/31/2014
