Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
AMS,0,0,11,37,16,70,1,0,11,0,0,0,0,0
APHIS,0,2,22,66,57,432,53,0,251,30,3,14,0,1
ASCR,0,0,0,0,1,8,0,0,8,0,0,0,0,0
FAS,0,0,0,2,0,4,0,0,0,0,0,0,0,0
FNCS,0,1,202,20,177,263,1,1,231,24,188,0,0,0
FS,0,3,33,121,197,521,27,4,151,0,17,24,0,6
FSA,0,4,144,7,28,198,3,0,19,1,0,0,1,1
FSIS,0,3,0,131,26,159,4,1,49,3,4,0,0,0
GIPSA,0,0,0,6,6,13,2,0,5,0,0,0,0,0
NRCS,0,0,53,6,8,53,0,0,1,1,0,0,0,0
OGC,0,0,0,1,5,1,0,0,0,0,0,0,0,0
OIG,0,0,0,2,23,61,18,0,55,3,5,2,0,0
OSEC/OCIO/DM,0,0,3,6,11,55,3,0,6,0,0,0,0,0
RD,0,0,1,53,13,61,4,0,9,0,0,0,0,0
REE,0,0,4,19,6,29,0,0,0,0,0,0,0,0
RMA,0,0,25,12,7,19,2,0,1,0,0,0,0,0
Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
AMS,0,1,3,39,9,77,1,0,3,2,1,0,0,0
APHIS,1,4,13,36,56,395,47,0,258,14,3,12,0,0
ASCR,0,1,0,0,3,10,1,0,8,0,0,0,0,0
FAS,0,0,0,3,0,4,0,0,0,0,0,0,0,0
FNCS,0,1,79,3,58,132,0,0,104,21,74,0,0,0
FS,0,2,42,122,132,456,40,2,148,4,45,52,0,1
FSA,4,6,158,3,21,197,3,0,6,1,0,0,0,2
FSIS,0,16,0,107,38,134,9,0,103,0,7,0,0,0
GIPSA,0,0,0,7,5,13,5,0,9,0,3,0,0,0
NRCS,1,2,69,13,10,48,0,0,1,1,0,0,0,2
OCFO,0,0,0,0,0,10,0,0,0,0,0,0,0,0
OGC,0,0,0,0,7,7,0,0,0,0,0,0,0,0
OIG,0,0,0,1,14,34,11,0,31,0,2,0,0,0
OSEC/OCIO/DM,0,0,3,22,65,6,0,1,0,0,0,0,0,0
RD,0,0,2,33,15,41,1,0,7,0,0,0,0,0
REE,0,0,2,20,5,28,0,0,0,0,0,0,0,0
RMA,0,0,11,4,3,12,2,0,0,0,0,0,0,0
Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
AMS,0,8,8,51,19,77,3,0,2,0,0,0,0,0
APHIS,0,0,28,45,31,375,74,0,176,0,1,10,0,0
ASCR,0,0,0,1,2,8,1,0,4,0,0,0,0,0
FAS,0,0,0,3,2,2,0,0,0,0,0,0,0,0
FNCS,0,1,25,8,8,77,1,0,75,24,34,1,0,0
FS,0,2,44,120,133,420,33,2,124,1,39,24,0,1
FSA,6,6,271,8,45,270,2,0,5,0,0,0,0,0
FSIS,0,24,0,125,51,158,1,3,96,0,1,0,0,0
GIPSA,0,0,0,12,11,16,19,0,13,2,0,0,0,0
NRCS,0,1,53,10,6,26,0,0,0,0,0,0,0,1
OBPA,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OCFO,0,0,0,0,0,6,0,0,1,0,0,0,0,0
OGC,0,0,2,1,9,4,1,0,0,1,0,0,0,0
OIG,0,1,0,1,13,30,9,0,25,2,6,1,0,0
OSEC/OCIO/DM,0,3,0,9,21,45,0,1,6,0,0,1,0,0
RD,0,2,0,9,4,11,0,0,2,0,0,0,0,0
REE,0,0,5,12,4,18,0,0,0,0,0,0,0,0
RMA,0,2,19,4,2,12,0,0,0,0,0,0,0,0
Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
AMS,0,4,6,37,12,61,3,0,4,0,2,1,0,0
APHIS,0,2,16,48,31,388,82,0,202,2,0,10,0,0
ASCR,0,0,0,0,0,9,0,0,6,1,0,0,0,0
DM,0,0,0,8,1,9,1,0,0,0,0,0,0,0
FAS,0,0,0,4,2,1,0,0,0,0,0,0,0,0
FNCS,0,2,56,18,2,54,8,1,53,7,55,6,0,0
FS,0,40,54,124,415,28,6,109,1,28,25,0,1,0
FSA,5,5,259,7,47,324,2,0,1,0,0,0,1,0
FSIS,0,1,0,95,12,143,5,3,99,0,0,0,0,0
GIPSA,0,1,0,9,7,10,6,0,7,0,0,0,0,0
NRCS,0,1,74,12,2,44,0,0,1,2,0,0,0,0
OBPA,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OCFO,0,0,0,0,0,8,0,0,0,0,0,0,0,0
OGC,0,0,0,0,10,5,0,0,0,0,0,0,0,0
OIG,0,0,1,5,16,43,19,0,35,1,4,0,0,0
OSEC/OCIO,0,3,0,5,13,42,1,0,2,0,0,0,0,0
RD,0,2,0,23,10,24,0,0,2,0,0,0,0,0
REE,0,0,4,12,5,22,0,0,0,0,0,0,0,0
RMA,0,0,4,3,4,6,9,0,1,0,0,0,0,0
Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9
AMS,0,0,2,30,15,42,3,0,2,1,2,0,0,0
APHIS,0,30,9,78,53,428,90,0,215,0,3,17,0,0
ASCR,0,0,0,0,7,23,1,0,12,0,0,0,0,0
