Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2013-02334,OLA,2/3/14,"Any correspondence between the Department of Justice and Representative Joseph (Jeb) E. Bradley between January 2003 and January 2007, or State Senator Joseph (Jeb) E. Bradley between April 2009 and the present",Request Withdrawn,,
FOIA-2014-01226,OIP,2/3/14,Information regarding re-entry for released inmates (state prison),Provided relevant information and assistance,,
FOIA-2014-01266,OIP,2/3/14,"Copy of a Voting Rights Act ""preclearance letter""",Referred requester and/or request to more appropriate entity (CRT),,
FOIA-2014-01275,OIP,2/3/14,Records pertaining to the sentencing of a third party,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01328,OIP,2/3/14,Declassified documents regarding certain special operations of the United States Navy in Vietnam in 1970,Referred requester and/or request to more appropriate entity (DOD),,
FOIA-2014-01387,OIP,2/3/14,Records concerning the BOP award number RFP-THA-0198,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-01388,OIP,2/3/14,Records concerning the BOP award number RFPP06141100001,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2014-01405,OIP,2/3/14,Records maintained by the Executive Office for United States Attorneys' Freedom of Information Act office pertaining to FOIA requests submitted by a third party,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01425,OIP,2/3/14,Records of the Executive Office for Immigration Review regarding a third party,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2013-00417,OIP,2/4/14,Referral of records pertaining to FBI file number 2-HQ-875,Determined that records were improperly referred to OIP for processing and forwarded records to CRM for further processing,,
FOIA-2014-01303,OIP,2/4/14,Records of investigations pertaining to Andrew Auernheimer or his aliases,Referred requester and/or request to more appropriate entity (FBI & EOUSA),,
FOIA-2014-01304,OIP,2/4/14,Records pertaining to the Department of Justice settlement with JP Morgan Chase,Provided requester with publicly available material; Referred requester and/or request to another entity (EOUSA); Provided other relevant information and assistance,,
FOIA-2012-00028,OLA,2/5/14,"Correspondence from Representative Shelley Berkley and her office from January 1, 1999 to present",Request Withdrawn,,
FOIA-2014-01251,OIP,2/5/14,Any case study or comparative analysis of the open records laws of countries other than the United States conducted by the Office of Information Policy,Provided requester with publicly available online article from FOIA Post; Provided other relevant information and assistance,,
FOIA-2014-01354,OAG,2/5/14,Records pertaining to La Borinquena Housing Fund Development Corporation,No Records,,
FOIA-2014-01355,ODAG,2/5/14,Records pertaining to La Borinquena Housing Fund Development Corporation,No Records,,
FOIA-2014-01356,OASG,2/5/14,Records pertaining to La Borinquena Housing Fund Development Corporation,No Records,,
FOIA-2014-01359,OASG,2/5/14,"Records pertaining to foreign transactions of Iraqi Dinar from November 15, 2013, to January 21, 2014.",No Records; Referred requester and/or request to more appropriate entity (Treasury),,
FOIA-2013-04988,OAG,2/6/14,"Records pertaining to the arrest and detention of individuals as material witnesses pursuant to 18 U.S.C. § 3144 and the corresponding provisions of 18 U.S.C § 3142, from January 1, 2008.",Full Grant; Provided other relevant information and assistance,,
FOIA-2013-04989,ODAG,2/6/14,"Records pertaining to the arrest and detention of individuals as material witnesses pursuant to 18 U.S.C. § 3144 and the corresponding provisions of 18 U.S.C § 3142, from January 1, 2008.",Full Grant; Provided other relevant information and assistance,,
FOIA-2014-00036,OIP,2/6/14,A copy of a letter previously sent to this OIP,Full Grant,,
FOIA-2014-01308,OIP,2/6/14,Records pertaining to Anderson v. U.S. Parole Commission,Full Grant,,
FOIA-2014-01377,OIP,2/6/14,Inquiring into the status of a FOIA request submitted to another entity,Provided relevant information and assistance,,
FOIA-2014-01395,OIP,2/6/14,"Information about the FOIA, as well as information on FOIA districts",Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01396,OIP,2/6/14,Various information concerning the FOIA,Provided requester with the  DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2014-01422,OIP,2/7/14,A copy of the Freedom of Information Act,Full Grant,,
FOIA-2014-01510,OIP,2/10/14,Records pertaining to the investigation of Medico Industries,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01318,OIP,2/11/14,"Recordings of three 911 calls made in Elkhart County, Indiana",Provided relevant information and assistance,,
FOIA-2014-01204,ODAG,2/12/14,United States-European Union High Level Contact Group on Data Privacy,Partial Grant/Partial Denial,"(b)(5), (b)(6)",Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-01386,OAG,2/12/14,"Attorney General Eric Holder’s Memorandum dated August 12, 2013:  Department Policy on Changing Mandatory Minimum Sentences and Recidivist Enhancement in Certain Drug Cases",Full Grant,,
FOIA-2014-01507,OIP,2/12/14,Information related to bonds in regard to two specific federal cases,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01531,OIP,2/12/14,Records related to a specific FBI case file,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2012-01092,OAG,2/18/14,"Records created after January 1, 2000, pertaining to New Century Financial Corporation and its former operating subsidiaries, New Century Mortgage Corporation and Home 123 Corporation, and New Century TRS Holdings, Inc.",Full Grant/Partial Referral:  Referred records to EOUST for further review,,
FOIA-2012-01093,OASG,2/18/14,"Records created after January 1, 2000, pertaining to New Century Financial Corporation and its former operating subsidiaries, New Century Mortgage Corporation and Home 123 Corporation, and New Century TRS Holdings, Inc.",Full Grant/Partial Referral:  Referred records to EOUST for further review,,
FOIA-2014-01159,OAG,2/18/14,"Copy of a January 28, 1992 memorandum pertaining to FOIA policy on White House records found in agency files",Full Grant,,
FOIA-2014-01527,OIP,2/18/14,Records pertaining to the Department of Justice settlement with Medico Industries,Provided requester with publicly available material; Referred requester and/or request to another entity (EOUSA); Provided other relevant information and assistance,,
FOIA-2014-01535,OIP,2/18/14,Records regarding the educational credentials of applicants for Education Specialist positions within the Federal Bureau of Prisons,Referred requester and/or request to more appropriate entity (BOP),,
FOIA-2013-02892,OLA,2/19/14,"Correspondence between Representative Steve King and the U.S. Department of Justice from June 1, 2011 and April 11, 2013",Request Withdrawn,,
FOIA-2014-01330,OAG,2/19/14,"Records concerning the Community Housing Fund in Irving, Texas",No Records,,
FOIA-2014-01389,ODAG,2/19/14,"Records concerning the Community Housing Fund in Irving, Texas",No Records,,
FOIA-2014-01390,OASG,2/19/14,"Records concerning the Community Housing Fund in Irving, Texas",No Records,,
